market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail
KOSPI,009420,한올바이오파마(주),2025,2026,mid_sized,manufacturing,1989,1.909536921579917,0.5564278821639479,225224012.033,0.7178692865675012,0.3930112608404095,0.13648455918410693,-5.189870837182348,-0.03582291897977499,80857900.077,-0.18400141175528278,-0.027438828094823738,-0.004066237759168477,-0.03822259652035367,-0.03683130930430655,-0.0761349388736353,-0.015081127325469125,-0.4702143849277951,-0.014291571480079921,3186827.0,0.2867197866208788,2.442211945396519,0,14.135997698956109,5.803,0.5120300849718279,0.05798276847738777,-0.022833172088435154,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,009440,케이씨그린홀딩스(주),2025,2026,mid_sized,it_services,1994,1.1331083170614578,0.2775424983764746,172280442.883,0.6621976812741138,0.5101230769578223,0.09209682446530121,-8.818238101485765,-0.4749709452793823,17564506.0,-0.0548037942980156,-0.2553562106342893,-0.009137888269007603,-0.38561930652334275,-0.011430721637240949,-0.04192679059444618,-0.00773884455541782,-0.02315800051258624,-0.23312713404315932,5829852.0,0.006506572964647353,1.4770579193554825,0,0.1539991169291391,5.803,0.24310632944531463,-0.4045793301859693,-0.4631325674199134,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0
KOSPI,009450,(주)경동나비엔,2025,2026,mid_sized,manufacturing,1993,1.287803078530853,0.2446871649429444,1522167095.867,0.5061832486611064,0.975569129648357,0.22492680712033683,,0.05971009198134815,638496827.762,3.5670362667434925,0.09896726288068615,0.09419261125949842,0.19551666939287732,0.0946865654934959,0.2078801222764874,0.047378059423271744,1.7706995222303468,0.012170588432965763,48117562.0,0.02398611735080506,1.9985319501496208,1,1.0493985632512843,5.803,0.8123897921876866,0.12017115579511153,-0.032130375567535244,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,009460,(주)한창제지,2025,2026,mid_sized,manufacturing,1987,0.6775499761280003,0.1363814288622162,287460858.999,0.288477631280885,2.46647327752882,,-1.7796052171529395,-0.0490448437334267,19049848.138,-0.6862255746180482,-0.0502568250345702,-0.0180666175008475,-0.174213940995779,0.0264335523118408,,0.0202530195862411,0.7143879786482008,-0.0643537930639258,0.0,0.0035162945540475,1.3051659876830648,0,,5.803,,-0.0003417875325769233,,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,009470,삼화전기(주),2025,2026,mid_sized,manufacturing,1986,2.2598397764836293,0.1644270705300466,180647655.408,0.6666574435743645,0.5000207522447797,0.0,-17.208857232582684,0.04835707136262378,43156506.968,2.2250681316550516,0.07559517683834406,0.06662974980668895,0.11339433402712999,0.13902627252342115,,0.03638849837907821,1.547614434729802,0.015242839575088435,4184088.0,0.003552505320650732,3.820610322391185,1,1.606361105525575,5.803,,0.04325045849795149,-0.040326510050429226,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,009540,에이치디한국조선해양(주),2025,2026,large,it_services,1999,1.1705909355625705,0.18699966386130534,39542213288.0,0.4276025903975191,1.3386200702627968,,-46.781852171098414,0.09783096278807243,5328421048.0,1.864341263423771,0.09018985705289993,0.09874231241337489,0.21091980983804443,0.1953732396908792,,0.1477305598635216,2.111469711946779,-0.03777369182956899,555809000.0,0.013125503477002034,1.3224971182087948,1,1.703575652708499,5.803,,0.07688295706828274,0.04087477095625676,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
KOSPI,009580,무림피앤피(주),2025,2026,mid_sized,manufacturing,1989,0.7881091997075744,0.17402352195103837,1820115150.517,0.33337475604587175,1.9996272419091077,0.5749777537353812,,-0.045222577503181954,37022277.651,-0.7157569420920035,-0.023931856705125074,-0.013438718344854272,-0.07178664932215831,-0.017774493730479075,-0.020607625499011743,-0.029477610381014572,-0.6310833354882843,-0.006328903576088556,60431250.0,0.0007071932435892208,0.6029828571832595,1,0.2600477014054856,5.803,0.5868933624945937,0.07606333793630313,-0.07306317659803668,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,009680,(주)모토닉,2025,2026,mid_sized,manufacturing,1994,10.464324700712057,0.6921956507034442,530548802.467,0.9100443811990915,0.09884750750549262,,-28.261997371939394,0.096534595658881,38962800.68,24.43042785004673,0.062345008493459725,0.03493624133126357,0.06850765718844698,1.1804861629206667,,0.20143085997318216,74.25814397438947,-0.0552997555146209,5657720.062,0.00032253846621516736,5.860503018642887,1,0.6041966227384669,5.803,,0.06242065039095941,-0.014825875234276795,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,009770,삼정펄프(주),2025,2026,small_and_medium,manufacturing,2006,11.486545622491189,1.4882321880111065,322255669.541,0.8907368181538844,0.1226660665858309,,-21.96386555836047,0.2112906298405808,10789601.554,-0.6913360261347294,0.1267257637458081,-0.0044700330891051,0.1422707147195917,0.1651080672224801,,0.0391312281018359,2.790105260375109,0.0793687249829622,0.0,0.0006365329345242,4.219342842826183,0,,5.803,,0.07973087449141787,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
KOSPI,009810,(주)플레이그램,2025,2026,small_and_medium,wholesale_retail,1988,1.6282454650766744,0.8405045877675015,289194202.55,0.6286225133976151,0.5907798061433442,0.19663525684325653,-10.968982617440393,-0.011873239652336004,50820651.564,-0.3408916765568351,-0.011335644515326055,-0.01520359193659776,-0.018032514384600247,0.10791173676078385,0.20380876866381994,0.046188695135447655,0.8985752401291845,-0.05037790061673559,3357505.0,0.17058574315462188,2.3363235623854344,0,0.2088732255972428,5.803,0.5782278570830468,-0.14122013540331543,-0.0032489689620220294,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
KOSPI,009830,한화솔루션(주),2025,2026,large,manufacturing,1974,0.992216305243449,0.1939768624860178,33144011000.0,0.3374678761722593,1.9632450096955407,0.4518867978893683,-11.587698873131968,-0.04614711332099058,1487922000.0,-0.6761745868438859,-0.025282637035089085,-0.01100527633785784,-0.07491864802617139,-0.029828627678927775,-0.043733129932743066,-0.04912647551517638,-1.2142220244881312,0.0011985272392046938,719949000.0,0.05570900878593119,0.6071802905891952,1,0.4180351376512858,5.803,0.4757401864589983,0.10344565268257913,0.06430777306374333,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
