error_type,feature,direction,case_count,appearance_count,mean_abs_shap,mean_shap_value,median_rank,feature_group,korean_name,description,case_share
false_positive,depreciation,increase_risk,48,48,0.1969227869994938,0.1969227869994938,8.5,cashflow_structure,감가상각비,감가상각비,0.5925925925925926
false_positive,assets_total,increase_risk,47,47,0.2824506746961715,0.2824506746961715,5.0,stability_leverage,자산총계,총자산,0.5802469135802469
false_positive,interest_coverage_ratio,increase_risk,44,44,0.43662101233547385,0.43662101233547385,3.0,profitability_returns,이자보상배율,영업이익 대비 이자비용 배수,0.5432098765432098
false_positive,capital_impairment_ratio,increase_risk,41,41,0.28522756186927234,0.28522756186927234,5.0,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,0.5061728395061729
false_positive,listed_year,increase_risk,39,39,0.49736776298437363,0.49736776298437363,2.0,context,상장연도,상장일에서 추출한 연도,0.48148148148148145
false_positive,interest_coverage_ratio,decrease_risk,31,31,0.6458757721608684,-0.6458757721608684,1.0,profitability_returns,이자보상배율,영업이익 대비 이자비용 배수,0.38271604938271603
false_positive,cashflow_coverage_ratio,decrease_risk,31,31,0.18401169824984762,-0.18401169824984762,8.0,cashflow_structure,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,0.38271604938271603
false_positive,cashflow_coverage_ratio,increase_risk,27,27,0.2533681359555986,0.2533681359555986,7.0,cashflow_structure,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,0.3333333333333333
false_positive,net_margin,increase_risk,26,26,0.4873640634692632,0.4873640634692632,3.0,profitability_returns,순이익률,매출액 대비 당기순이익 비율,0.32098765432098764
false_positive,equity_ratio,decrease_risk,24,24,0.22575418837368486,-0.22575418837368486,9.0,stability_leverage,자기자본비율,총자산 대비 자기자본 비율,0.2962962962962963
false_positive,industry_macro_category,decrease_risk,19,19,0.533528142853787,-0.533528142853787,3.0,context,산업 대분류,모델링용 산업 대분류,0.2345679012345679
false_positive,capital_impairment_ratio,decrease_risk,19,19,0.35673030583482035,-0.35673030583482035,5.0,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,0.2345679012345679
false_positive,listed_year,decrease_risk,19,19,0.33006713813857025,-0.33006713813857025,4.0,context,상장연도,상장일에서 추출한 연도,0.2345679012345679
false_positive,equity_ratio,increase_risk,16,16,0.4698935430496931,0.4698935430496931,3.5,stability_leverage,자기자본비율,총자산 대비 자기자본 비율,0.19753086419753085
false_positive,industry_macro_category,increase_risk,16,16,0.28391247522085905,0.28391247522085905,9.0,context,산업 대분류,모델링용 산업 대분류,0.19753086419753085
false_positive,dividend_payer,decrease_risk,15,15,0.38564884563287094,-0.38564884563287094,5.0,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,0.18518518518518517
false_positive,net_margin_diff,increase_risk,14,14,0.7289362028241158,0.7289362028241158,2.0,trend_early_warning,순이익률 변화,전년 대비 순이익률 변화폭,0.1728395061728395
false_positive,net_margin,decrease_risk,14,14,0.4544280597141811,-0.4544280597141811,3.5,profitability_returns,순이익률,매출액 대비 당기순이익 비율,0.1728395061728395
false_positive,total_borrowings_ratio,increase_risk,14,14,0.18804376785244256,0.18804376785244256,10.0,stability_leverage,총차입금비율,총자산 대비 총차입금 비율,0.1728395061728395
false_positive,net_margin_diff,decrease_risk,13,13,0.21102528847180876,-0.21102528847180876,9.0,trend_early_warning,순이익률 변화,전년 대비 순이익률 변화폭,0.16049382716049382
false_positive,assets_total,decrease_risk,11,11,0.49440121379765595,-0.49440121379765595,5.0,stability_leverage,자산총계,총자산,0.13580246913580246
false_positive,total_assets_growth,increase_risk,9,9,0.5153227779600356,0.5153227779600356,1.0,trend_early_warning,총자산증가율,전년 대비 총자산 증가율,0.1111111111111111
false_positive,total_debt_turnover,decrease_risk,9,9,0.4251636034912533,-0.4251636034912533,4.0,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,0.1111111111111111
false_positive,cash_ratio,increase_risk,8,8,0.22756734862923622,0.22756734862923622,9.0,stability_leverage,현금비율,유동부채 대비 현금및현금성자산 비율,0.09876543209876543
false_positive,gross_profit,decrease_risk,7,7,0.43678768404892515,-0.43678768404892515,4.0,profitability_returns,매출총이익,매출총이익(손실),0.08641975308641975
false_positive,depreciation,decrease_risk,6,6,0.7089761098225912,-0.7089761098225912,3.0,cashflow_structure,감가상각비,감가상각비,0.07407407407407407
false_positive,firm_size_group,decrease_risk,6,6,0.6285252024730047,-0.6285252024730047,4.5,context,기업규모 그룹,모델링용 기업규모 그룹,0.07407407407407407
false_positive,pretax_roe,increase_risk,6,6,0.39100844661394757,0.39100844661394757,7.0,profitability_returns,세전계속사업이익 기준 ROE,자기자본 대비 세전이익 비율,0.07407407407407407
false_positive,intangible_assets_ratio,decrease_risk,6,6,0.35751349727312726,-0.35751349727312726,6.5,cashflow_structure,무형자산 비중,총자산 대비 무형자산 비율,0.07407407407407407
