market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,listed_year,current_ratio,cash_ratio,assets_total,assets_total_industry_year_pct,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,gross_profit_industry_year_pct,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,depreciation_industry_year_pct,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail
KOSDAQ,073570,(주)리튬포어스,2025,2026,small_and_medium,manufacturing,2004,13.227500006426112,2.7544099941453815,59125143.536,0.12405541561712846,0.944963364832786,0.0582420834663288,,,-1.2581857813197437,3229799.598,0.11523929471032746,-2.715497593068818,-0.2268081216214706,-0.0758038617406664,-0.2400178991717896,-1.5019602643015433,,-0.4587618412271301,-2.9612045542706076,-0.1440456607232481,191019.11,0.14798488664987405,0.0003044390072227,3.2739433172645502,0,,5.803,,0.0697606522912802,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,073640,테라사이언스(주),2025,2026,small_and_medium,manufacturing,2004,0.7558471490506663,0.0829114464666179,56310304.518,0.11397984886649874,0.5082622562421284,0.967488216405381,0.196427341810313,-1.690424266420828,-1.2199839559201595,1405042.739,0.0787153652392947,-5.851269330547227,-0.2892099169663382,-0.1800758064406956,-0.5690171036988492,-0.4697575135095383,-1.1759946333212568,-0.9202806905004824,-7.505886619455042,-0.0752278144162033,1182660.0,0.25,0.0015643037229863,0.5104502554042147,0,2.430843409537015,5.803,1.0,-0.2826959582999305,-0.6401629112454055,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,074430,(주)아미노로직스,2025,2026,small_and_medium,manufacturing,2004,2.85066996541697,0.959386558272484,84178004.615,0.22481108312342568,0.6651797205944023,0.5033531074976302,0.3551812631190866,-5.375442750738032,0.1599236185901584,9859778.97,0.27581863979848864,1.3158489629099532,0.0417569388711032,0.0426934244098202,0.0627754238114616,0.0901383140141425,0.0849710798884281,0.1153713280857755,0.930178371148246,0.0116544915086426,472809.0,0.16624685138539042,0.0237348033864416,0.781288691997435,0,1.8728110939730112,5.803,0.5167232749490245,0.4822902154643358,0.2564093001616462,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,074600,(주)원익큐엔씨,2025,2026,mid_sized,manufacturing,2003,1.1797846165494164,0.1650018741080825,1545872449.06,0.9017632241813602,0.369101832133017,1.7092794262793574,0.4989353281261977,-42.41025206877663,0.001015290462788,248884779.352,0.904911838790932,1.4061996449746352,0.0128573865916854,0.0385608788831492,0.0348342529685734,0.0869994027010906,0.1100097761683392,0.0899170738498556,2.001592187776809,-0.0542680035762406,61369490.0,0.9156171284634761,0.200999788956676,0.9675515336093232,1,0.988245816828419,5.803,0.2899290270002597,0.0072871725887391,-0.0679882597904504,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,075130,(주)플랜티넷,2025,2026,small_and_medium,it_services,2005,3.60743459148082,2.2632560183623363,95167533.838,0.38086642599277976,0.8556579810150025,0.1686912553702539,0.0377692582022627,-8.797773098099423,0.0420245478763121,45612921.0,0.575812274368231,16.259839544779982,0.0268502102234753,0.0342656804005349,0.0313796058930285,0.3777868236566496,1.443780351218631,0.1137733407944361,25.875960413967345,-0.0343885346821211,2313871.0,0.5054151624548736,0.0675003059860209,3.320521494918822,1,0.5082787631126577,5.803,0.5,-0.0126960776550298,-0.0443051312482673,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
KOSDAQ,075970,(주)동국알앤에스,2025,2026,mid_sized,manufacturing,2004,1.6263852620708383,0.3625036975516637,125763122.898,0.3425692695214106,0.652449808840624,0.5326849459530967,0.214689325279385,-3.4594633420652174,0.0052291138650084,18258268.638,0.4181360201511335,2.9321604061740234,0.0070894494304433,0.026860608890412,0.0108658924171362,0.1538867094760781,0.2491197698148148,0.0607419242382138,5.838355244515303,-0.0488791127028999,3858701.0,0.5,0.0113441005210811,2.5334513419853963,1,0.5067874406070384,5.803,1.0,-0.0136790977067936,-0.0104751920613139,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,076080,(주)웰크론한텍,2025,2026,mid_sized,construction,2008,0.614257534279161,0.0755341352159448,114976273.514,0.17857142857142858,0.1189008549867063,7.410368454556568,0.2974526739713447,-0.2101162109352524,-0.2605891056032572,4826758.616,0.14285714285714285,-9.611083771651142,-0.3952458113322534,-0.1576874263696881,-3.3241629034244005,0.146787341561722,0.434805979122807,0.0892082317946843,7.882948377041407,-0.5071365981164809,1580036.0,0.2857142857142857,0.012902346524732,1.6454461500767994,0,1.950225951312058,5.803,0.5,-0.3274577405697674,-0.2350785485406086,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
KOSDAQ,076610,해성옵틱스(주),2025,2026,small_and_medium,manufacturing,2013,0.6384789910743306,0.1285510331366063,145775808.637,0.3891687657430731,0.193796449981273,4.160053241927972,0.3214696319722944,-0.1681682681194914,,11979707.382,0.31171284634760704,-1.361576680650967,-0.0948428813276417,-0.0462146284489212,-0.4893943172684876,-0.0061421421829787,-0.0154036846412416,-0.004502168076081,-0.1458905665253955,,5302259.778,0.5824937027707808,0.05001401258665,1.364263190352774,0,1.097444644218291,5.803,0.7376520366463293,0.2432722035060731,,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,077360,덕산하이메탈(주),2025,2026,small_and_medium,manufacturing,2005,0.9214364436595154,0.3434597117936635,658964267.763,0.7884130982367759,0.5140858980760977,0.9452002160385552,0.2326394331705031,-36.27845395620513,-0.4894347463838941,44069447.538,0.6448362720403022,0.0928939352807173,-0.1823028431766284,0.0042688551999176,-0.3546155299316205,0.0151068574616013,0.0315537008335401,0.020461604915014,0.1597384890718811,-0.1829261710990883,9111084.0,0.6908060453400504,,0.7383026661078952,1,0.8168257211282902,5.803,1.0,-0.1948999537759907,-0.6221027188169626,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,078070,(주)유비쿼스홀딩스,2025,2026,small_and_medium,it_services,2009,12.6819744885465,5.586488218576824,417187552.636,0.6967509025270758,0.9202204566226844,0.0866961202646114,0.0023970034428915,-36.098267426365304,0.2161434791194784,64707797.805,0.6335740072202166,13.826994453346002,0.1005873285404893,0.0733613388645454,0.1093078596727315,0.9649820739537222,32.117529683,0.2063282421876722,14.510130951643388,0.0036622914354615,2563673.8,0.5324909747292419,0.0434495805123305,4.676926744114812,1,0.4952573561780413,5.803,1.0,0.076005986838735,0.0456811049003753,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
