variant,display_name,operating_mode,operating_mode_display,dimension,segment,rows,positive_rows,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
isotonic_valid,Isotonic Valid,fp_reduction_kosdaq,FP 축소 KOSDAQ,market,KOSPI,497,40,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
isotonic_valid,Isotonic Valid,fp_reduction_kosdaq,FP 축소 KOSDAQ,industry,manufacturing,598,162,0.702020202020202,0.8580246913580247,0.7722222222222223,377,59,23,139
isotonic_valid,Isotonic Valid,fp_reduction_kosdaq,FP 축소 KOSDAQ,industry,it_services,176,21,0.6538461538461539,0.8095238095238095,0.723404255319149,146,9,4,17
beta_valid,Beta Valid,recall_first,Recall 우선,overall,all,924,203,0.6433566433566433,0.9064039408866995,0.7525562372188139,619,102,19,184
beta_valid,Beta Valid,recall_first,Recall 우선,market,KOSDAQ,427,163,0.6577777777777778,0.9079754601226994,0.7628865979381443,187,77,15,148
beta_valid,Beta Valid,recall_first,Recall 우선,market,KOSPI,497,40,0.5901639344262295,0.9,0.7128712871287128,432,25,4,36
beta_valid,Beta Valid,recall_first,Recall 우선,industry,manufacturing,598,162,0.6517857142857143,0.9012345679012346,0.7564766839378239,358,78,16,146
beta_valid,Beta Valid,recall_first,Recall 우선,industry,it_services,176,21,0.6206896551724138,0.8571428571428571,0.72,144,11,3,18
beta_valid,Beta Valid,balanced,균형,overall,all,924,203,0.6941176470588235,0.8719211822660099,0.7729257641921398,643,78,26,177
beta_valid,Beta Valid,balanced,균형,market,KOSDAQ,427,163,0.7014925373134329,0.8650306748466258,0.7747252747252747,204,60,22,141
beta_valid,Beta Valid,balanced,균형,market,KOSPI,497,40,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
beta_valid,Beta Valid,balanced,균형,industry,manufacturing,598,162,0.7035175879396985,0.8641975308641975,0.775623268698061,377,59,22,140
beta_valid,Beta Valid,balanced,균형,industry,it_services,176,21,0.6538461538461539,0.8095238095238095,0.723404255319149,146,9,4,17
beta_valid,Beta Valid,fp_reduction_global,FP 축소 Global,overall,all,924,203,0.7222222222222222,0.8325123152709359,0.7734553775743707,656,65,34,169
beta_valid,Beta Valid,fp_reduction_global,FP 축소 Global,market,KOSDAQ,427,163,0.7362637362637363,0.8220858895705522,0.7768115942028986,216,48,29,134
beta_valid,Beta Valid,fp_reduction_global,FP 축소 Global,market,KOSPI,497,40,0.6730769230769231,0.875,0.7608695652173914,440,17,5,35
beta_valid,Beta Valid,fp_reduction_global,FP 축소 Global,industry,manufacturing,598,162,0.7297297297297297,0.8333333333333334,0.7780979827089337,386,50,27,135
beta_valid,Beta Valid,fp_reduction_global,FP 축소 Global,industry,it_services,176,21,0.6818181818181818,0.7142857142857143,0.6976744186046512,148,7,6,15
beta_valid,Beta Valid,fp_reduction_kosdaq,FP 축소 KOSDAQ,overall,all,924,203,0.7203389830508474,0.8374384236453202,0.7744874715261959,655,66,33,170
beta_valid,Beta Valid,fp_reduction_kosdaq,FP 축소 KOSDAQ,market,KOSDAQ,427,163,0.7362637362637363,0.8220858895705522,0.7768115942028986,216,48,29,134
beta_valid,Beta Valid,fp_reduction_kosdaq,FP 축소 KOSDAQ,market,KOSPI,497,40,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
beta_valid,Beta Valid,fp_reduction_kosdaq,FP 축소 KOSDAQ,industry,manufacturing,598,162,0.7272727272727273,0.8395061728395061,0.7793696275071633,385,51,26,136
beta_valid,Beta Valid,fp_reduction_kosdaq,FP 축소 KOSDAQ,industry,it_services,176,21,0.6818181818181818,0.7142857142857143,0.6976744186046512,148,7,6,15
rolling_oof_platt,Rolling OOF Platt,recall_first,Recall 우선,overall,all,924,203,0.6411149825783972,0.9064039408866995,0.7510204081632653,618,103,19,184
rolling_oof_platt,Rolling OOF Platt,recall_first,Recall 우선,market,KOSDAQ,427,163,0.6548672566371682,0.9079754601226994,0.7609254498714653,186,78,15,148
rolling_oof_platt,Rolling OOF Platt,recall_first,Recall 우선,market,KOSPI,497,40,0.5901639344262295,0.9,0.7128712871287128,432,25,4,36
rolling_oof_platt,Rolling OOF Platt,recall_first,Recall 우선,industry,manufacturing,598,162,0.6517857142857143,0.9012345679012346,0.7564766839378239,358,78,16,146
rolling_oof_platt,Rolling OOF Platt,recall_first,Recall 우선,industry,it_services,176,21,0.6206896551724138,0.8571428571428571,0.72,144,11,3,18
rolling_oof_platt,Rolling OOF Platt,balanced,균형,overall,all,924,203,0.6941176470588235,0.8719211822660099,0.7729257641921398,643,78,26,177
rolling_oof_platt,Rolling OOF Platt,balanced,균형,market,KOSDAQ,427,163,0.7014925373134329,0.8650306748466258,0.7747252747252747,204,60,22,141
rolling_oof_platt,Rolling OOF Platt,balanced,균형,market,KOSPI,497,40,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
rolling_oof_platt,Rolling OOF Platt,balanced,균형,industry,manufacturing,598,162,0.7035175879396985,0.8641975308641975,0.775623268698061,377,59,22,140
rolling_oof_platt,Rolling OOF Platt,balanced,균형,industry,it_services,176,21,0.6538461538461539,0.8095238095238095,0.723404255319149,146,9,4,17
rolling_oof_platt,Rolling OOF Platt,fp_reduction_global,FP 축소 Global,overall,all,924,203,0.7222222222222222,0.8325123152709359,0.7734553775743707,656,65,34,169
rolling_oof_platt,Rolling OOF Platt,fp_reduction_global,FP 축소 Global,market,KOSDAQ,427,163,0.7362637362637363,0.8220858895705522,0.7768115942028986,216,48,29,134
rolling_oof_platt,Rolling OOF Platt,fp_reduction_global,FP 축소 Global,market,KOSPI,497,40,0.6730769230769231,0.875,0.7608695652173914,440,17,5,35
rolling_oof_platt,Rolling OOF Platt,fp_reduction_global,FP 축소 Global,industry,manufacturing,598,162,0.7297297297297297,0.8333333333333334,0.7780979827089337,386,50,27,135
rolling_oof_platt,Rolling OOF Platt,fp_reduction_global,FP 축소 Global,industry,it_services,176,21,0.6818181818181818,0.7142857142857143,0.6976744186046512,148,7,6,15
rolling_oof_platt,Rolling OOF Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,overall,all,924,203,0.7203389830508474,0.8374384236453202,0.7744874715261959,655,66,33,170
rolling_oof_platt,Rolling OOF Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market,KOSDAQ,427,163,0.7362637362637363,0.8220858895705522,0.7768115942028986,216,48,29,134
rolling_oof_platt,Rolling OOF Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market,KOSPI,497,40,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
rolling_oof_platt,Rolling OOF Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,industry,manufacturing,598,162,0.7272727272727273,0.8395061728395061,0.7793696275071633,385,51,26,136
rolling_oof_platt,Rolling OOF Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,industry,it_services,176,21,0.6818181818181818,0.7142857142857143,0.6976744186046512,148,7,6,15
rolling_oof_isotonic,Rolling OOF Isotonic,recall_first,Recall 우선,overall,all,924,203,0.6153846153846154,0.9064039408866995,0.7330677290836654,606,115,19,184
rolling_oof_isotonic,Rolling OOF Isotonic,recall_first,Recall 우선,market,KOSDAQ,427,163,0.6297872340425532,0.9079754601226994,0.7437185929648241,177,87,15,148
rolling_oof_isotonic,Rolling OOF Isotonic,recall_first,Recall 우선,market,KOSPI,497,40,0.5625,0.9,0.6923076923076923,429,28,4,36
rolling_oof_isotonic,Rolling OOF Isotonic,recall_first,Recall 우선,industry,manufacturing,598,162,0.6347826086956522,0.9012345679012346,0.7448979591836735,352,84,16,146
rolling_oof_isotonic,Rolling OOF Isotonic,recall_first,Recall 우선,industry,it_services,176,21,0.5454545454545454,0.8571428571428571,0.6666666666666666,140,15,3,18
