variant,display_name,operating_mode,operating_mode_display,threshold_detail,eval_year,policy_year,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
fold_segment_industry_platt,Fold Industry Segment Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.500; fallback:0.310,2021,2020,0.7228915662650602,0.7272727272727273,0.7250755287009063,462,46,45,120
fold_platt,Fold Platt,recall_first,Recall 우선,global:0.175; valid recall floor 0.90,2022,2021,0.6168582375478927,0.9147727272727273,0.7368421052631579,400,100,15,161
fold_platt,Fold Platt,balanced,균형,global:0.240; valid recall floor 0.85,2022,2021,0.7027027027027027,0.8863636363636364,0.7839195979899497,434,66,20,156
fold_platt,Fold Platt,fp_reduction_global,FP 축소 Global,global:0.325; valid recall floor 0.80,2022,2021,0.7272727272727273,0.8181818181818182,0.7700534759358288,446,54,32,144
fold_platt,Fold Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.380; fallback:0.240,2022,2021,0.7315789473684211,0.7897727272727273,0.7595628415300546,449,51,37,139
fold_isotonic,Fold Isotonic,recall_first,Recall 우선,global:0.285; valid recall floor 0.90,2022,2021,0.6145038167938931,0.9147727272727273,0.7351598173515982,399,101,15,161
fold_isotonic,Fold Isotonic,balanced,균형,global:0.290; valid recall floor 0.85,2022,2021,0.7058823529411765,0.8863636363636364,0.7858942065491183,435,65,20,156
fold_isotonic,Fold Isotonic,fp_reduction_global,FP 축소 Global,global:0.375; valid recall floor 0.80,2022,2021,0.7272727272727273,0.8181818181818182,0.7700534759358288,446,54,32,144
fold_isotonic,Fold Isotonic,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.410; fallback:0.290,2022,2021,0.7135678391959799,0.8068181818181818,0.7573333333333333,443,57,34,142
fold_beta,Fold Beta,recall_first,Recall 우선,global:0.175; valid recall floor 0.90,2022,2021,0.6098484848484849,0.9147727272727273,0.7318181818181818,397,103,15,161
fold_beta,Fold Beta,balanced,균형,global:0.245; valid recall floor 0.85,2022,2021,0.7027027027027027,0.8863636363636364,0.7839195979899497,434,66,20,156
fold_beta,Fold Beta,fp_reduction_global,FP 축소 Global,global:0.330; valid recall floor 0.80,2022,2021,0.7272727272727273,0.8181818181818182,0.7700534759358288,446,54,32,144
fold_beta,Fold Beta,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.385; fallback:0.245,2022,2021,0.7315789473684211,0.7897727272727273,0.7595628415300546,449,51,37,139
fold_segment_market_platt,Fold Market Segment Platt,recall_first,Recall 우선,global:0.185; valid recall floor 0.90,2022,2021,0.6201550387596899,0.9090909090909091,0.7373271889400922,402,98,16,160
fold_segment_market_platt,Fold Market Segment Platt,balanced,균형,global:0.250; valid recall floor 0.85,2022,2021,0.6954545454545454,0.8693181818181818,0.7727272727272727,433,67,23,153
fold_segment_market_platt,Fold Market Segment Platt,fp_reduction_global,FP 축소 Global,global:0.325; valid recall floor 0.80,2022,2021,0.7282051282051282,0.8068181818181818,0.7654986522911051,447,53,34,142
fold_segment_market_platt,Fold Market Segment Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.340; fallback:0.250,2022,2021,0.7142857142857143,0.7954545454545454,0.7526881720430108,444,56,36,140
fold_segment_industry_platt,Fold Industry Segment Platt,recall_first,Recall 우선,global:0.190; valid recall floor 0.90,2022,2021,0.6186770428015564,0.9034090909090909,0.7344110854503464,402,98,17,159
fold_segment_industry_platt,Fold Industry Segment Platt,balanced,균형,global:0.270; valid recall floor 0.85,2022,2021,0.7064220183486238,0.875,0.7817258883248731,436,64,22,154
fold_segment_industry_platt,Fold Industry Segment Platt,fp_reduction_global,FP 축소 Global,global:0.335; valid recall floor 0.80,2022,2021,0.7185929648241206,0.8125,0.7626666666666667,444,56,33,143
fold_segment_industry_platt,Fold Industry Segment Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.385; fallback:0.270,2022,2021,0.7315789473684211,0.7897727272727273,0.7595628415300546,449,51,37,139
