variant,eval_year,dimension,segment,rows,positives,negatives,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
macro_vulnerability_interactions_56,final_test,overall,all,924,203,721,0.688,0.8472906403940886,0.7593818984547461,643,78,31,172
macro_vulnerability_interactions_56,final_test,market,KOSDAQ,427,163,264,0.6868686868686869,0.8343558282208589,0.7534626038781164,202,62,27,136
macro_vulnerability_interactions_56,final_test,market,KOSPI,497,40,457,0.6923076923076923,0.9,0.782608695652174,441,16,4,36
macro_vulnerability_interactions_56,final_test,industry,manufacturing,598,162,436,0.700507614213198,0.8518518518518519,0.7688022284122563,377,59,24,138
macro_vulnerability_interactions_56,final_test,industry,it_services,176,21,155,0.5925925925925926,0.7619047619047619,0.6666666666666666,144,11,5,16
macro_shock_plus_interactions_61,2019,overall,all,574,140,434,0.6086956521739131,0.9,0.7262247838616714,353,81,14,126
macro_shock_plus_interactions_61,2019,market,KOSDAQ,311,106,205,0.5987654320987654,0.9150943396226415,0.7238805970149254,140,65,9,97
macro_shock_plus_interactions_61,2019,market,KOSPI,263,34,229,0.6444444444444445,0.8529411764705882,0.7341772151898734,213,16,5,29
macro_shock_plus_interactions_61,2019,industry,manufacturing,378,103,275,0.6266666666666667,0.912621359223301,0.7430830039525692,219,56,9,94
macro_shock_plus_interactions_61,2019,industry,it_services,96,13,83,0.5217391304347826,0.9230769230769231,0.6666666666666666,72,11,1,12
macro_shock_plus_interactions_61,2020,overall,all,603,151,452,0.7484662576687117,0.8079470198675497,0.7770700636942676,411,41,29,122
macro_shock_plus_interactions_61,2020,market,KOSDAQ,341,119,222,0.7633587786259542,0.8403361344537815,0.8,191,31,19,100
macro_shock_plus_interactions_61,2020,market,KOSPI,262,32,230,0.6875,0.6875,0.6875,220,10,10,22
macro_shock_plus_interactions_61,2020,industry,manufacturing,403,115,288,0.7622950819672131,0.808695652173913,0.7848101265822784,259,29,22,93
macro_shock_plus_interactions_61,2020,industry,it_services,103,15,88,0.6666666666666666,0.8,0.7272727272727273,82,6,3,12
macro_shock_plus_interactions_61,2021,overall,all,673,165,508,0.6698564593301436,0.8484848484848485,0.7486631016042781,439,69,25,140
macro_shock_plus_interactions_61,2021,market,KOSDAQ,392,126,266,0.6529411764705882,0.8809523809523809,0.75,207,59,15,111
macro_shock_plus_interactions_61,2021,market,KOSPI,281,39,242,0.7435897435897436,0.7435897435897436,0.7435897435897436,232,10,10,29
macro_shock_plus_interactions_61,2021,industry,manufacturing,449,131,318,0.6727272727272727,0.8473282442748091,0.75,264,54,20,111
macro_shock_plus_interactions_61,2021,industry,it_services,125,18,107,0.6666666666666666,0.8888888888888888,0.7619047619047619,99,8,2,16
macro_shock_plus_interactions_61,2022,overall,all,676,176,500,0.6724137931034483,0.8863636363636364,0.7647058823529411,424,76,20,156
macro_shock_plus_interactions_61,2022,market,KOSDAQ,403,143,260,0.6842105263157895,0.9090909090909091,0.7807807807807807,200,60,13,130
macro_shock_plus_interactions_61,2022,market,KOSPI,273,33,240,0.6190476190476191,0.7878787878787878,0.6933333333333334,224,16,7,26
macro_shock_plus_interactions_61,2022,industry,manufacturing,450,136,314,0.6836158192090396,0.8897058823529411,0.7731629392971247,258,56,15,121
macro_shock_plus_interactions_61,2022,industry,it_services,129,23,106,0.6551724137931034,0.8260869565217391,0.7307692307692307,96,10,4,19
macro_shock_plus_interactions_61,final_test,overall,all,924,203,721,0.7024793388429752,0.8374384236453202,0.7640449438202247,649,72,33,170
macro_shock_plus_interactions_61,final_test,market,KOSDAQ,427,163,264,0.7120418848167539,0.8343558282208589,0.768361581920904,209,55,27,136
macro_shock_plus_interactions_61,final_test,market,KOSPI,497,40,457,0.6666666666666666,0.85,0.7472527472527473,440,17,6,34
macro_shock_plus_interactions_61,final_test,industry,manufacturing,598,162,436,0.7098445595854922,0.845679012345679,0.7718309859154929,380,56,25,137
macro_shock_plus_interactions_61,final_test,industry,it_services,176,21,155,0.64,0.7619047619047619,0.6956521739130435,146,9,5,16
macro_regime_plus_interactions_61,2019,overall,all,574,140,434,0.6086956521739131,0.9,0.7262247838616714,353,81,14,126
macro_regime_plus_interactions_61,2019,market,KOSDAQ,311,106,205,0.5987654320987654,0.9150943396226415,0.7238805970149254,140,65,9,97
macro_regime_plus_interactions_61,2019,market,KOSPI,263,34,229,0.6444444444444445,0.8529411764705882,0.7341772151898734,213,16,5,29
macro_regime_plus_interactions_61,2019,industry,manufacturing,378,103,275,0.6266666666666667,0.912621359223301,0.7430830039525692,219,56,9,94
macro_regime_plus_interactions_61,2019,industry,it_services,96,13,83,0.5217391304347826,0.9230769230769231,0.6666666666666666,72,11,1,12
macro_regime_plus_interactions_61,2020,overall,all,603,151,452,0.7484662576687117,0.8079470198675497,0.7770700636942676,411,41,29,122
macro_regime_plus_interactions_61,2020,market,KOSDAQ,341,119,222,0.7633587786259542,0.8403361344537815,0.8,191,31,19,100
