variant,display_name,evaluation_scope,probability_bin,rows,mean_probability,actual_positive_rate,calibration_gap
isotonic_valid,Isotonic Valid,test,"(0.2, 0.3]",1,0.2058225494862645,0.0,0.2058225494862645
isotonic_valid,Isotonic Valid,test,"(0.3, 0.4]",38,0.3103448275862069,0.18421052631578946,0.12613430127041744
isotonic_valid,Isotonic Valid,test,"(0.4, 0.5]",82,0.45117197741576165,0.5,-0.04882802258423835
isotonic_valid,Isotonic Valid,test,"(0.6, 0.7]",28,0.6858731096204274,0.6071428571428571,0.07873025247757026
isotonic_valid,Isotonic Valid,test,"(0.7, 0.8]",56,0.7510004758798207,0.6607142857142857,0.09028619016553496
isotonic_valid,Isotonic Valid,test,"(0.8, 0.9]",52,0.8679247784123341,0.8846153846153846,-0.016690606203050518
isotonic_valid,Isotonic Valid,test,"(0.9, 1.0]",37,0.9684020013649454,0.972972972972973,-0.004570971608027663
beta_valid,Beta Valid,valid,"(-0.001, 0.1]",369,0.021083373610972667,0.016260162601626018,0.004823211009346649
beta_valid,Beta Valid,valid,"(0.1, 0.2]",52,0.1488537272708929,0.1346153846153846,0.014238342655508301
beta_valid,Beta Valid,valid,"(0.2, 0.3]",38,0.24080683324499938,0.2631578947368421,-0.02235106149184271
beta_valid,Beta Valid,valid,"(0.3, 0.4]",23,0.3452762833480065,0.4782608695652174,-0.13298458621721093
beta_valid,Beta Valid,valid,"(0.4, 0.5]",22,0.45353121899063686,0.45454545454545453,-0.0010142355548176663
beta_valid,Beta Valid,valid,"(0.5, 0.6]",33,0.5453661627735698,0.48484848484848486,0.06051767792508489
beta_valid,Beta Valid,valid,"(0.6, 0.7]",23,0.6620064487565693,0.6956521739130435,-0.03364572515647413
beta_valid,Beta Valid,valid,"(0.7, 0.8]",27,0.7569395509647424,0.7037037037037037,0.05323584726103869
beta_valid,Beta Valid,valid,"(0.8, 0.9]",46,0.8534681421848732,0.8913043478260869,-0.037836205641213705
beta_valid,Beta Valid,valid,"(0.9, 1.0]",43,0.9414165666358586,0.9302325581395349,0.011184008496323727
beta_valid,Beta Valid,test,"(-0.001, 0.1]",543,0.018184023843644752,0.02578268876611418,-0.007598664922469429
beta_valid,Beta Valid,test,"(0.1, 0.2]",81,0.14314084074182637,0.06172839506172839,0.08141244568009798
beta_valid,Beta Valid,test,"(0.2, 0.3]",36,0.25250787203790864,0.16666666666666666,0.08584120537124199
beta_valid,Beta Valid,test,"(0.3, 0.4]",25,0.3461951260954439,0.24,0.1061951260954439
beta_valid,Beta Valid,test,"(0.4, 0.5]",37,0.4504878734272079,0.5135135135135135,-0.06302564008630557
beta_valid,Beta Valid,test,"(0.5, 0.6]",39,0.550039115687325,0.5897435897435898,-0.03970447405626476
beta_valid,Beta Valid,test,"(0.6, 0.7]",39,0.6551073330404092,0.6153846153846154,0.03972271765579383
beta_valid,Beta Valid,test,"(0.7, 0.8]",34,0.7505087157753723,0.6764705882352942,0.0740381275400781
beta_valid,Beta Valid,test,"(0.8, 0.9]",43,0.8498149695735081,0.8604651162790697,-0.010650146705561636
beta_valid,Beta Valid,test,"(0.9, 1.0]",47,0.9418249541516224,0.9787234042553191,-0.036898450103696745
rolling_oof_platt,Rolling OOF Platt,valid,"(-0.001, 0.1]",372,0.022912231845581846,0.021505376344086023,0.0014068555014958226
rolling_oof_platt,Rolling OOF Platt,valid,"(0.1, 0.2]",65,0.14854469548055238,0.1076923076923077,0.04085238778824468
rolling_oof_platt,Rolling OOF Platt,valid,"(0.2, 0.3]",32,0.2465981477129616,0.375,-0.1284018522870384
rolling_oof_platt,Rolling OOF Platt,valid,"(0.3, 0.4]",23,0.3489372621559661,0.5217391304347826,-0.1728018682788165
rolling_oof_platt,Rolling OOF Platt,valid,"(0.4, 0.5]",23,0.46400467104885834,0.30434782608695654,0.1596568449619018
rolling_oof_platt,Rolling OOF Platt,valid,"(0.5, 0.6]",23,0.5341975139444486,0.6521739130434783,-0.11797639909902968
rolling_oof_platt,Rolling OOF Platt,valid,"(0.6, 0.7]",22,0.6555469283802583,0.6818181818181818,-0.02627125343792347
rolling_oof_platt,Rolling OOF Platt,valid,"(0.7, 0.8]",23,0.7598906377481834,0.7391304347826086,0.020760202965574792
rolling_oof_platt,Rolling OOF Platt,valid,"(0.8, 0.9]",36,0.8578606043418354,0.8333333333333334,0.02452727100850205
rolling_oof_platt,Rolling OOF Platt,valid,"(0.9, 1.0]",57,0.9503825983831086,0.9298245614035088,0.020558036979599792
rolling_oof_platt,Rolling OOF Platt,test,"(-0.001, 0.1]",550,0.020348207013973933,0.02727272727272727,-0.006924520258753338
rolling_oof_platt,Rolling OOF Platt,test,"(0.1, 0.2]",81,0.13710864300853054,0.04938271604938271,0.08772592695914783
rolling_oof_platt,Rolling OOF Platt,test,"(0.2, 0.3]",40,0.24385287679820783,0.2,0.04385287679820782
rolling_oof_platt,Rolling OOF Platt,test,"(0.3, 0.4]",25,0.3512002759691966,0.36,-0.008799724030803369
rolling_oof_platt,Rolling OOF Platt,test,"(0.4, 0.5]",39,0.44573347233758515,0.5128205128205128,-0.06708704048292763
rolling_oof_platt,Rolling OOF Platt,test,"(0.5, 0.6]",32,0.5495630505127198,0.6875,-0.1379369494872802
rolling_oof_platt,Rolling OOF Platt,test,"(0.6, 0.7]",33,0.6536678667706286,0.5757575757575758,0.0779102910130528
rolling_oof_platt,Rolling OOF Platt,test,"(0.7, 0.8]",29,0.7505233520146896,0.6206896551724138,0.12983369684227575
rolling_oof_platt,Rolling OOF Platt,test,"(0.8, 0.9]",37,0.855570194373104,0.8648648648648649,-0.009294670491760915
rolling_oof_platt,Rolling OOF Platt,test,"(0.9, 1.0]",58,0.953262589847078,0.9655172413793104,-0.012254651532232375
rolling_oof_isotonic,Rolling OOF Isotonic,valid,"(-0.001, 0.1]",387,0.02313808882510388,0.020671834625323,0.0024662541997808804
rolling_oof_isotonic,Rolling OOF Isotonic,valid,"(0.1, 0.2]",35,0.11258277948813104,0.14285714285714285,-0.030274363369011806
rolling_oof_isotonic,Rolling OOF Isotonic,valid,"(0.2, 0.3]",39,0.24089901867679644,0.28205128205128205,-0.041152263374485604
rolling_oof_isotonic,Rolling OOF Isotonic,valid,"(0.3, 0.4]",29,0.3831168831168831,0.4827586206896552,-0.09964173757277212
rolling_oof_isotonic,Rolling OOF Isotonic,valid,"(0.4, 0.5]",26,0.42245657568238215,0.3076923076923077,0.11476426799007444
rolling_oof_isotonic,Rolling OOF Isotonic,valid,"(0.5, 0.6]",15,0.5094339622641509,0.5333333333333333,-0.023899371069182385
rolling_oof_isotonic,Rolling OOF Isotonic,valid,"(0.6, 0.7]",33,0.6669137461394831,0.7575757575757576,-0.0906620114362745
rolling_oof_isotonic,Rolling OOF Isotonic,valid,"(0.7, 0.8]",32,0.7837832779335283,0.75,0.03378327793352831
rolling_oof_isotonic,Rolling OOF Isotonic,valid,"(0.8, 0.9]",27,0.8775510204081632,0.8888888888888888,-0.0113378684807256
rolling_oof_isotonic,Rolling OOF Isotonic,valid,"(0.9, 1.0]",53,0.960694178185854,0.9245283018867925,0.03616587629906154
rolling_oof_isotonic,Rolling OOF Isotonic,test,"(-0.001, 0.1]",580,0.021182075722150334,0.03103448275862069,-0.009852407036470355
rolling_oof_isotonic,Rolling OOF Isotonic,test,"(0.1, 0.2]",45,0.11245446545757044,0.022222222222222223,0.09023224323534822
rolling_oof_isotonic,Rolling OOF Isotonic,test,"(0.2, 0.3]",38,0.24350227420402856,0.15789473684210525,0.08560753736192331
rolling_oof_isotonic,Rolling OOF Isotonic,test,"(0.3, 0.4]",31,0.3831168831168831,0.3548387096774194,0.028278173439463705
rolling_oof_isotonic,Rolling OOF Isotonic,test,"(0.4, 0.5]",43,0.4249812453113278,0.5116279069767442,-0.0866466616654164
rolling_oof_isotonic,Rolling OOF Isotonic,test,"(0.5, 0.6]",17,0.5094339622641509,0.5882352941176471,-0.07880133185349614
rolling_oof_isotonic,Rolling OOF Isotonic,test,"(0.6, 0.7]",54,0.6724109778069133,0.6111111111111112,0.06129986669580212
rolling_oof_isotonic,Rolling OOF Isotonic,test,"(0.7, 0.8]",38,0.7840536611797949,0.7368421052631579,0.04721155591663706
rolling_oof_isotonic,Rolling OOF Isotonic,test,"(0.8, 0.9]",27,0.876873568503538,0.8888888888888888,-0.012015320385350803
rolling_oof_isotonic,Rolling OOF Isotonic,test,"(0.9, 1.0]",51,0.9678908067939576,0.9803921568627451,-0.012501350068787498
rolling_oof_beta,Rolling OOF Beta,valid,"(-0.001, 0.1]",372,0.022707929580344705,0.021505376344086023,0.0012025532362586813
rolling_oof_beta,Rolling OOF Beta,valid,"(0.1, 0.2]",65,0.14913636975719505,0.1076923076923077,0.04144406206488735
rolling_oof_beta,Rolling OOF Beta,valid,"(0.2, 0.3]",32,0.247988410786412,0.375,-0.127011589213588
rolling_oof_beta,Rolling OOF Beta,valid,"(0.3, 0.4]",23,0.350699436644771,0.5217391304347826,-0.1710396937900116
rolling_oof_beta,Rolling OOF Beta,valid,"(0.4, 0.5]",23,0.46555599243529344,0.30434782608695654,0.1612081663483369
rolling_oof_beta,Rolling OOF Beta,valid,"(0.5, 0.6]",23,0.5353205622078882,0.6521739130434783,-0.11685335083559012
rolling_oof_beta,Rolling OOF Beta,valid,"(0.6, 0.7]",22,0.6555871183076867,0.6818181818181818,-0.02623106351049509
rolling_oof_beta,Rolling OOF Beta,valid,"(0.7, 0.8]",23,0.7589138779480339,0.7391304347826086,0.01978344316542524
rolling_oof_beta,Rolling OOF Beta,valid,"(0.8, 0.9]",37,0.8573729526721672,0.8378378378378378,0.019535114834329348
rolling_oof_beta,Rolling OOF Beta,valid,"(0.9, 1.0]",56,0.9499896506403042,0.9285714285714286,0.02141822206887556
rolling_oof_beta,Rolling OOF Beta,test,"(-0.001, 0.1]",550,0.0201596932666789,0.02727272727272727,-0.007113034006048371
rolling_oof_beta,Rolling OOF Beta,test,"(0.1, 0.2]",81,0.13759038917725544,0.04938271604938271,0.08820767312787273
