variant,note,added_features,added_feature_count,feature_count,eval_year,policy_year,train_rows,policy_rows,eval_rows,eval_positive_rate,best_iteration,threshold_tuned,threshold_selection_rule,policy_precision_at_threshold,policy_recall_at_threshold,policy_f1_at_threshold,policy_pr_auc,policy_roc_auc,policy_brier,policy_logloss,eval_pr_auc,eval_roc_auc,eval_brier,eval_logloss,eval_precision_at_threshold,eval_recall_at_threshold,eval_f1_at_threshold,eval_true_negative_at_threshold,eval_false_positive_at_threshold,eval_false_negative_at_threshold,eval_true_positive_at_threshold
macro_vulnerability_interactions_56,"macro shock과 차입, 이자보상, 현금 유동성 취약도의 interaction 10개 추가","macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",10,56,2022,2021,3178,673,676,0.2603550295857988,316,0.21,policy_max_precision_with_recall_ge_0.85,0.6431718061674009,0.8848484848484849,0.7448979591836735,0.8412013645130942,0.9351348126938678,0.0849321332600524,0.27242022064163585,0.8330768769095385,0.9305568181818181,0.09007989582579319,0.29063142353446353,0.6475409836065574,0.8977272727272727,0.7523809523809524,414,86,18,158
macro_shock_plus_interactions_61,macro shock component 5개와 취약도 interaction 10개를 함께 추가,"macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",15,61,2019,2018,1490,511,574,0.24390243902439024,394,0.21,policy_max_precision_with_recall_ge_0.85,0.6163522012578616,0.8672566371681416,0.7205882352941176,0.8367313176081896,0.9252234624449682,0.07889211354938352,0.26744418571988876,0.8318998750928949,0.9304476629361422,0.0846874816575126,0.27949977740375503,0.6086956521739131,0.9,0.7262247838616714,353,81,14,126
macro_shock_plus_interactions_61,macro shock component 5개와 취약도 interaction 10개를 함께 추가,"macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",15,61,2020,2019,2001,574,603,0.2504145936981758,399,0.35,policy_max_precision_with_recall_ge_0.85,0.7692307692307693,0.8571428571428571,0.8108108108108109,0.8830827614831006,0.955184331797235,0.06813718709039579,0.22933010309183324,0.8474185349357963,0.9388442829514153,0.08276722262843322,0.2699273941646919,0.7484662576687117,0.8079470198675497,0.7770700636942676,411,41,29,122
macro_shock_plus_interactions_61,macro shock component 5개와 취약도 interaction 10개를 함께 추가,"macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",15,61,2021,2020,2575,603,673,0.2451708766716196,340,0.29,policy_max_precision_with_recall_ge_0.85,0.7329545454545454,0.8543046357615894,0.7889908256880734,0.8746575020717728,0.9513127820430171,0.0740886536822904,0.2411496479591394,0.8251571693776658,0.9254593175853019,0.09074013582510282,0.29483412486479516,0.6698564593301436,0.8484848484848485,0.7486631016042781,439,69,25,140
macro_shock_plus_interactions_61,macro shock component 5개와 취약도 interaction 10개를 함께 추가,"macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",15,61,2022,2021,3178,673,676,0.2603550295857988,316,0.24,policy_max_precision_with_recall_ge_0.85,0.6558139534883721,0.8545454545454545,0.7421052631578947,0.8426809616905899,0.9341207349081365,0.08475617031749981,0.2730796476377848,0.8296517346831065,0.9276136363636364,0.09163543987470182,0.2959532490035269,0.6724137931034483,0.8863636363636364,0.7647058823529411,424,76,20,156
macro_regime_plus_interactions_61,raw macro 변화량 5개와 취약도 interaction 10개를 함께 추가,"market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",15,61,2019,2018,1490,511,574,0.24390243902439024,394,0.21,policy_max_precision_with_recall_ge_0.85,0.6163522012578616,0.8672566371681416,0.7205882352941176,0.8367313176081896,0.9252234624449682,0.07889211354938352,0.26744418571988876,0.8318998750928949,0.9304476629361422,0.0846874816575126,0.27949977740375503,0.6086956521739131,0.9,0.7262247838616714,353,81,14,126
macro_regime_plus_interactions_61,raw macro 변화량 5개와 취약도 interaction 10개를 함께 추가,"market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",15,61,2020,2019,2001,574,603,0.2504145936981758,399,0.35,policy_max_precision_with_recall_ge_0.85,0.7692307692307693,0.8571428571428571,0.8108108108108109,0.8830827614831006,0.955184331797235,0.06813718709039579,0.22933010309183324,0.8474185349357963,0.9388442829514153,0.08276722262843322,0.2699273941646919,0.7484662576687117,0.8079470198675497,0.7770700636942676,411,41,29,122
macro_regime_plus_interactions_61,raw macro 변화량 5개와 취약도 interaction 10개를 함께 추가,"market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",15,61,2021,2020,2575,603,673,0.2451708766716196,385,0.315,policy_max_precision_with_recall_ge_0.85,0.7543859649122807,0.8543046357615894,0.8012422360248447,0.8790120814107674,0.9523237414288226,0.07363048479010059,0.23940224142251393,0.8268569269783103,0.9244094488188976,0.09089625514028382,0.2952979328690355,0.66,0.8,0.7232876712328767,440,68,33,132
macro_regime_plus_interactions_61,raw macro 변화량 5개와 취약도 interaction 10개를 함께 추가,"market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",15,61,2022,2021,3178,673,676,0.2603550295857988,349,0.25,policy_max_precision_with_recall_ge_0.85,0.6650943396226415,0.8545454545454545,0.7480106100795756,0.8424720191164503,0.933703173466953,0.08533970797149495,0.27401507924775265,0.8260793213562634,0.9270227272727273,0.09242669549338468,0.29720041069129727,0.6740088105726872,0.8693181818181818,0.7593052109181141,426,74,23,153
macro_full_pressure_70,"raw macro, shock component, 취약도 proxy, interaction을 모두 추가","market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff, macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up, macro_short_term_borrowings_pressure, macro_total_borrowings_pressure, macro_interest_coverage_pressure, macro_cash_ratio_inverse, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",24,70,2019,2018,1490,511,574,0.24390243902439024,335,0.24,policy_max_precision_with_recall_ge_0.85,0.6423841059602649,0.8584070796460177,0.7348484848484849,0.8442749483681031,0.9284697825410237,0.07718284923219594,0.262625869259096,0.8432176224296215,0.9342824226464779,0.08212682190059067,0.2708183517216212,0.6526315789473685,0.8857142857142857,0.7515151515151515,368,66,16,124
