candidate_id,display_name,note,half_life_years,use_monotonic_constraints,monotonic_profile,risk_proxy_pack,feature_count,added_risk_proxy_count,monotonic_constraint_count,eval_year,policy_year,train_rows,policy_rows,eval_rows,eval_positive_rate,best_iteration,train_weight_min,train_weight_max,threshold_tuned,threshold_selection_rule,policy_precision_at_threshold,policy_recall_at_threshold,policy_f1_at_threshold,policy_pr_auc,policy_roc_auc,policy_brier,policy_logloss,eval_pr_auc,eval_roc_auc,eval_brier,eval_logloss,eval_precision_at_threshold,eval_recall_at_threshold,eval_f1_at_threshold,eval_true_negative_at_threshold,eval_false_positive_at_threshold,eval_false_negative_at_threshold,eval_true_positive_at_threshold
monotonic_leverage_liquidity_time_decay_3y,차입/유동성 단조 제약 + half-life 3년,"수익성/규모성 변수는 풀고 차입, 유동성, 현금흐름 커버리지 중심으로 제약",3.0,True,leverage_liquidity,False,46,0,10,2019,2018,1490,511,574,0.24390243902439024,359,0.6656027264895604,1.3312054529791209,0.215,policy_max_precision_with_recall_ge_0.85,0.610062893081761,0.8584070796460177,0.7132352941176471,0.8309969930078268,0.9223329034553298,0.0807502252347633,0.2719171308477334,0.8244597464738294,0.9295918367346939,0.08511845312447289,0.2808034571422167,0.6116504854368932,0.9,0.7283236994219653,354,80,14,126
monotonic_leverage_liquidity_time_decay_3y,차입/유동성 단조 제약 + half-life 3년,"수익성/규모성 변수는 풀고 차입, 유동성, 현금흐름 커버리지 중심으로 제약",3.0,True,leverage_liquidity,False,46,0,10,2020,2019,2001,574,603,0.2504145936981758,244,0.5674644835716727,1.4299208958393477,0.315,policy_max_precision_with_recall_ge_0.85,0.7289156626506024,0.8642857142857143,0.7908496732026143,0.8622374703609673,0.9487327188940091,0.07527928219825594,0.24616229694134487,0.8497631160227785,0.9375549434448808,0.08551457953505598,0.2733253857159207,0.7176470588235294,0.8079470198675497,0.7601246105919003,404,48,29,122
monotonic_leverage_liquidity_time_decay_3y,차입/유동성 단조 제약 + half-life 3년,"수익성/규모성 변수는 풀고 차입, 유동성, 현금흐름 커버리지 중심으로 제약",3.0,True,leverage_liquidity,False,46,0,10,2021,2020,2575,603,673,0.2451708766716196,252,0.4814390493336145,1.528473706741499,0.28,policy_max_precision_with_recall_ge_0.85,0.7329545454545454,0.8543046357615894,0.7889908256880734,0.8751987898011847,0.9494080759538183,0.07640601329014168,0.24582493939186803,0.8199305564014338,0.9243497971844429,0.09150542551840934,0.2940512535816717,0.6445497630331753,0.8242424242424242,0.723404255319149,433,75,29,136
monotonic_leverage_liquidity_time_decay_3y,차입/유동성 단조 제약 + half-life 3년,"수익성/규모성 변수는 풀고 차입, 유동성, 현금흐름 커버리지 중심으로 제약",3.0,True,leverage_liquidity,False,46,0,10,2022,2021,3178,673,676,0.2603550295857988,260,0.40950714881087874,1.638028595243515,0.27,policy_max_precision_with_recall_ge_0.85,0.6945812807881774,0.8545454545454545,0.7663043478260869,0.8481795193471571,0.9363874970174183,0.08428408339863953,0.2696021404937326,0.824891984879897,0.9243977272727272,0.09338717139103468,0.3016510653073099,0.6930232558139535,0.8465909090909091,0.7621483375959079,434,66,27,149
monotonic_guardrail_time_decay_3y,위험 guardrail 단조 제약 + half-life 3년,명확한 부실 guardrail 변수만 제약해 과도한 수익성 제약을 피함,3.0,True,distress_guardrail,False,46,0,9,2019,2018,1490,511,574,0.24390243902439024,394,0.6656027264895604,1.3312054529791209,0.26,policy_max_precision_with_recall_ge_0.85,0.6736111111111112,0.8584070796460177,0.754863813229572,0.8421233980265778,0.9295148307911237,0.07814837243721734,0.26179514759502887,0.8325979612289314,0.9335582620144832,0.08223442276560207,0.27423389163803863,0.6510416666666666,0.8928571428571429,0.7530120481927711,367,67,15,125
monotonic_guardrail_time_decay_3y,위험 guardrail 단조 제약 + half-life 3년,명확한 부실 guardrail 변수만 제약해 과도한 수익성 제약을 피함,3.0,True,distress_guardrail,False,46,0,9,2020,2019,2001,574,603,0.2504145936981758,368,0.5674644835716727,1.4299208958393477,0.35,policy_max_precision_with_recall_ge_0.85,0.759493670886076,0.8571428571428571,0.8053691275167785,0.8745947532836039,0.9506747860434497,0.07140183845341308,0.2399991006292262,0.8427953192863725,0.9370567895446288,0.08473729126537365,0.2746643562143982,0.7333333333333333,0.8013245033112583,0.7658227848101266,408,44,30,121
monotonic_guardrail_time_decay_3y,위험 guardrail 단조 제약 + half-life 3년,명확한 부실 guardrail 변수만 제약해 과도한 수익성 제약을 피함,3.0,True,distress_guardrail,False,46,0,9,2021,2020,2575,603,673,0.2451708766716196,313,0.4814390493336145,1.528473706741499,0.335,policy_max_precision_with_recall_ge_0.85,0.7413793103448276,0.8543046357615894,0.7938461538461539,0.8727290387764877,0.9488513157123601,0.07521706390295488,0.24500654774422698,0.8198843288667397,0.922930088284419,0.09075631554812488,0.29616192602594543,0.6751269035532995,0.806060606060606,0.7348066298342542,444,64,32,133
monotonic_guardrail_time_decay_3y,위험 guardrail 단조 제약 + half-life 3년,명확한 부실 guardrail 변수만 제약해 과도한 수익성 제약을 피함,3.0,True,distress_guardrail,False,46,0,9,2022,2021,3178,673,676,0.2603550295857988,397,0.40950714881087874,1.638028595243515,0.265,policy_max_precision_with_recall_ge_0.85,0.6878048780487804,0.8545454545454545,0.7621621621621621,0.8475408851668746,0.936471009305655,0.0832246753486972,0.2694044350814076,0.8204587946721573,0.9285227272727272,0.09245886810376042,0.2974149979545269,0.6854460093896714,0.8295454545454546,0.7506426735218509,433,67,30,146
risk_proxy_time_decay_3y,위험 proxy pack + half-life 3년,원변수 대신 산업-연도 내 위험방향 percentile proxy 12개를 추가,3.0,False,,True,58,12,0,2019,2018,1490,511,574,0.24390243902439024,324,0.6656027264895604,1.3312054529791209,0.185,policy_max_precision_with_recall_ge_0.85,0.5813953488372093,0.8849557522123894,0.7017543859649122,0.8365500305950908,0.9257793391737449,0.0795361009570225,0.26711802339433677,0.8280652267586072,0.9291968400263332,0.08347845801905322,0.2784255217988639,0.5934579439252337,0.9071428571428571,0.7175141242937854,347,87,13,127
risk_proxy_time_decay_3y,위험 proxy pack + half-life 3년,원변수 대신 산업-연도 내 위험방향 percentile proxy 12개를 추가,3.0,False,,True,58,12,0,2020,2019,2001,574,603,0.2504145936981758,320,0.5674644835716727,1.4299208958393477,0.425,policy_max_precision_with_recall_ge_0.85,0.7880794701986755,0.85,0.8178694158075601,0.8763032481280773,0.9502139565503621,0.0697169338274551,0.23857157725672953,0.8561799406066186,0.9381263552716405,0.08071528136784918,0.2675903745582146,0.7972027972027972,0.7549668874172185,0.7755102040816326,423,29,37,114
risk_proxy_time_decay_3y,위험 proxy pack + half-life 3년,원변수 대신 산업-연도 내 위험방향 percentile proxy 12개를 추가,3.0,False,,True,58,12,0,2021,2020,2575,603,673,0.2451708766716196,399,0.4814390493336145,1.528473706741499,0.34,policy_max_precision_with_recall_ge_0.85,0.7724550898203593,0.8543046357615894,0.8113207547169812,0.8880116157019278,0.9536716872765634,0.07011151034662075,0.23181271205560708,0.8224741975855323,0.9222381293247435,0.09161544779865353,0.298822682852441,0.6825396825396826,0.7818181818181819,0.7288135593220338,448,60,36,129
risk_proxy_time_decay_3y,위험 proxy pack + half-life 3년,원변수 대신 산업-연도 내 위험방향 percentile proxy 12개를 추가,3.0,False,,True,58,12,0,2022,2021,3178,673,676,0.2603550295857988,288,0.40950714881087874,1.638028595243515,0.27,policy_max_precision_with_recall_ge_0.85,0.6878048780487804,0.8545454545454545,0.7621621621621621,0.8422699404550529,0.9352541159627774,0.08340422511692457,0.27112621964599776,0.8263200348665184,0.9291022727272726,0.0921443656098283,0.29396373097633255,0.7067307692307693,0.8352272727272727,0.765625,439,61,29,147
risk_proxy_monotonic_time_decay_3y,위험 proxy 단조 제약 + half-life 3년,위험방향 percentile proxy만 higher-risk 방향으로 단조 제약,3.0,True,risk_proxy,True,58,12,12,2019,2018,1490,511,574,0.24390243902439024,399,0.6656027264895604,1.3312054529791209,0.225,policy_max_precision_with_recall_ge_0.85,0.6178343949044586,0.8584070796460177,0.7185185185185186,0.8416332035456326,0.930248588073109,0.07794691277043371,0.2604611474315972,0.8335352659867855,0.9308591178406845,0.08298422917342624,0.27578936193740383,0.6212121212121212,0.8785714285714286,0.727810650887574,359,75,17,123
risk_proxy_monotonic_time_decay_3y,위험 proxy 단조 제약 + half-life 3년,위험방향 percentile proxy만 higher-risk 방향으로 단조 제약,3.0,True,risk_proxy,True,58,12,12,2020,2019,2001,574,603,0.2504145936981758,345,0.5674644835716727,1.4299208958393477,0.365,policy_max_precision_with_recall_ge_0.85,0.7391304347826086,0.85,0.7906976744186046,0.876741366477536,0.9491935483870968,0.07111822384291375,0.24080328453912647,0.8607035844568938,0.9395622106311903,0.08010089828849458,0.26456700832720864,0.7530120481927711,0.8278145695364238,0.7886435331230284,411,41,26,125
