candidate_id,is_baseline,max_depth,min_child_weight,gamma,reg_alpha,reg_lambda,subsample,colsample_bytree,scale_pos_weight_multiplier,eval_year,policy_year,train_rows,policy_rows,eval_rows,eval_positive_rate,best_iteration,threshold_tuned,threshold_selection_rule,policy_precision_at_threshold,policy_recall_at_threshold,policy_f1_at_threshold,policy_pr_auc,policy_roc_auc,policy_brier,policy_logloss,eval_pr_auc,eval_roc_auc,eval_brier,eval_logloss,eval_precision_at_threshold,eval_recall_at_threshold,eval_f1_at_threshold,eval_true_negative_at_threshold,eval_false_positive_at_threshold,eval_false_negative_at_threshold,eval_true_positive_at_threshold
grid_regularized_040,False,3,8.0,0.5,0.2,1.0,0.8,0.9,1.2,2019,2018,1490,511,574,0.24390243902439024,399,0.24,policy_max_precision_with_recall_ge_0.85,0.6510067114093959,0.8584070796460177,0.7404580152671756,0.8260912623281869,0.9242451194023213,0.08098024791640597,0.27278379101459427,0.8291448089709089,0.9267116524028967,0.08531493872705609,0.28466734908513597,0.6436170212765957,0.8642857142857143,0.7378048780487805,367,67,19,121
grid_regularized_040,False,3,8.0,0.5,0.2,1.0,0.8,0.9,1.2,2020,2019,2001,574,603,0.2504145936981758,392,0.38,policy_max_precision_with_recall_ge_0.85,0.7828947368421053,0.85,0.815068493150685,0.8638931308772603,0.948584595128374,0.07436360554277587,0.24554281887671495,0.8479513185994049,0.9392252241692551,0.08276339477061095,0.2683860246921155,0.7658227848101266,0.8013245033112583,0.7831715210355987,415,37,30,121
grid_regularized_040,False,3,8.0,0.5,0.2,1.0,0.8,0.9,1.2,2021,2020,2575,603,673,0.2451708766716196,387,0.315,policy_max_precision_with_recall_ge_0.85,0.7247191011235955,0.8543046357615894,0.78419452887538,0.8707294282902263,0.9463019398698939,0.07667330020177075,0.24999577171998458,0.8144096979409255,0.9191004533524219,0.09305103480686483,0.3027282749941302,0.6540284360189573,0.8363636363636363,0.7340425531914894,435,73,27,138
grid_regularized_040,False,3,8.0,0.5,0.2,1.0,0.8,0.9,1.2,2022,2021,3178,673,676,0.2603550295857988,398,0.285,policy_max_precision_with_recall_ge_0.85,0.705,0.8545454545454545,0.7726027397260274,0.8468812709997067,0.9366738248628012,0.08280938603315449,0.2683626501275964,0.8308232440342711,0.9262727272727272,0.0915719509533125,0.2971675176037079,0.7004830917874396,0.8238636363636364,0.7571801566579635,438,62,31,145
grid_regularized_041,False,3,8.0,0.5,0.2,1.0,0.9,0.8,1.2,2019,2018,1490,511,574,0.24390243902439024,308,0.25,policy_max_precision_with_recall_ge_0.85,0.6282051282051282,0.8672566371681416,0.7286245353159851,0.8205834285051287,0.9226886645617467,0.08240317692444493,0.27586810609908125,0.8257356454482117,0.9275510204081633,0.08543947983431811,0.28366338502862753,0.631578947368421,0.8571428571428571,0.7272727272727273,364,70,20,120
grid_regularized_041,False,3,8.0,0.5,0.2,1.0,0.9,0.8,1.2,2020,2019,2001,574,603,0.2504145936981758,367,0.355,policy_max_precision_with_recall_ge_0.85,0.74375,0.85,0.7933333333333333,0.8648952708795562,0.947218564845293,0.07450544792996637,0.24858891584664622,0.8532438909828143,0.939664771728301,0.08236472007455405,0.2680037224858799,0.7530864197530864,0.8079470198675497,0.7795527156549521,412,40,29,122
grid_regularized_041,False,3,8.0,0.5,0.2,1.0,0.9,0.8,1.2,2021,2020,2575,603,673,0.2451708766716196,395,0.325,policy_max_precision_with_recall_ge_0.85,0.7371428571428571,0.8543046357615894,0.7914110429447853,0.8715099247330534,0.9478843110824591,0.0763295352111159,0.2478535399072561,0.8232921888233096,0.9231686948222382,0.09045740282206981,0.29479977884694686,0.6752577319587629,0.793939393939394,0.7298050139275766,445,63,34,131
grid_regularized_041,False,3,8.0,0.5,0.2,1.0,0.9,0.8,1.2,2022,2021,3178,673,676,0.2603550295857988,390,0.27,policy_max_precision_with_recall_ge_0.85,0.6844660194174758,0.8545454545454545,0.7601078167115903,0.8397605114699016,0.9327248866618946,0.08553754966631318,0.2761562644748455,0.8297666142663108,0.92775,0.09131755695424132,0.2947893557999594,0.7,0.8352272727272727,0.7616580310880829,437,63,29,147
grid_regularized_042,False,3,8.0,1.0,0.0,10.0,0.65,0.8,1.0,2019,2018,1490,511,574,0.24390243902439024,344,0.215,policy_max_precision_with_recall_ge_0.85,0.5950920245398773,0.8584070796460177,0.7028985507246377,0.8215561558735777,0.9198203406412594,0.08370490433247325,0.2785361860214571,0.8262558365720987,0.9284726793943384,0.08509501247012792,0.28251061637678593,0.6231155778894473,0.8857142857142857,0.7315634218289085,359,75,16,124
grid_regularized_042,False,3,8.0,1.0,0.0,10.0,0.65,0.8,1.0,2020,2019,2001,574,603,0.2504145936981758,261,0.295,policy_max_precision_with_recall_ge_0.85,0.6878612716763006,0.85,0.7603833865814696,0.848823237836034,0.9417215273206055,0.07892571021588776,0.2588861823559202,0.8391360686550896,0.9351081286995253,0.08527497741040929,0.2763068002785292,0.7191011235955056,0.847682119205298,0.7781155015197568,402,50,23,128
