,listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit
pretax_roe,-0.019831437761338586,0.03123133391502863,0.012937754570535372,0.014857433628198262,0.1370329024208156,-0.3734566853581637,-0.06971249398770649,-0.016133041700362637,0.2225054666132466,0.030102608254655005,0.01652890754681958,0.3876983550827685,0.24038928367617324,1.0,0.09115706243485652,0.2879677690323781,0.011958845647494148,0.012654578734524309,0.08640471558207692,0.08593164418646637,-0.4848335136054869,0.017260398343331814,-0.006079859186783638,0.05918972100371969,0.07736565095788052,-0.09147638896178299
ocf_to_total_liabilities,0.052708456272103986,0.2484932316442335,0.14675734048197836,-0.024562026362219398,0.37655699155722544,-0.03373535328145201,-0.2879599596966004,-0.006070877181667129,0.216261629179104,0.031003222676824108,0.14816677018783597,0.44117990843085403,0.5243284554845051,0.09115706243485652,1.0,-0.19882473118131916,0.030152590770854772,-0.0015957287355703993,0.48823180807049626,0.19545180326377382,-0.05909306948906157,0.02748286421802581,-0.0025755686674523745,0.010351902218626014,-0.019811578185526722,-0.29678537686244283
accruals_ratio,-0.019432698277614565,0.09165696006356298,0.025927066432939776,-0.001460656160925171,0.14780124990233828,-0.028247974515682978,-0.05403638562738952,-0.01582165075877018,0.33794393945889967,-0.04357895174430343,0.044801789733755544,0.5943339760440063,0.2850347343497222,0.2879677690323781,-0.19882473118131916,1.0,-0.06863816038582826,-0.04718559764656379,0.08701330560901405,0.10090910848317229,-0.1497071033207012,-0.025705762651214083,0.00047169860190213615,0.1689752999078216,0.1370452269593373,0.04276967355309935
depreciation,-0.10901877847749401,-0.06680555655798269,-0.037444649556260055,0.6764201548981778,-0.09928697905500042,0.005175641626938402,0.08797718503892973,-0.41982822939077835,0.020344591287893128,0.7225698147785172,-0.09463624144789776,0.030409472126026533,0.034477369789355866,0.011958845647494148,0.030152590770854772,-0.06863816038582826,1.0,0.11823384226195302,-0.11289971818561133,0.1619596033646418,-0.06474472299529857,-0.00267011656771799,-0.23291959008233395,0.026270575449803955,-0.0030749296494811257,-0.04506082482165578
intangible_assets_ratio,0.039680699058248836,-0.059656079118943044,-0.026012547690060332,0.08521288877194845,0.0011061304800768286,-0.01881907126403271,-0.03982149008638146,-0.09518702523066364,-0.02773311838182815,0.17352708621765287,0.013119662542797127,-0.01317582608905949,0.002458232578215001,0.012654578734524309,-0.0015957287355703993,-0.04718559764656379,0.11823384226195302,1.0,-0.05499745170927942,0.022099265739537532,0.0900458810496652,-0.040074956959116254,-0.16687755847211527,0.06602868529674,0.07280701944423852,0.016967960480480524
total_debt_turnover,0.11177095857813518,0.3987715253705757,0.20156191629852116,-0.14142550752954947,0.586287041088102,-0.06037337418371559,-0.4470342695627563,0.038682282124051635,0.11328883926968253,-0.11002748680396586,0.1814483586087374,0.31013941057382227,0.32164043239955686,0.08640471558207692,0.48823180807049626,0.08701330560901405,-0.11289971818561133,-0.05499745170927942,1.0,0.11474567262301145,-0.0324743845673372,0.0009579943958934201,0.2289890556699063,-0.0650926689706782,-0.005442848962935633,-0.14033599704885738
dividend_payer,-0.21652159087384906,-0.033468015259718806,-0.0564975623388433,0.17497239600511244,0.038301012256330744,-0.0056720294237017485,0.025998989202478135,-0.08996599751694566,0.13752010390295757,0.1977346029065438,-0.4211437322635093,0.31303127177839535,0.3229963545160583,0.08593164418646637,0.19545180326377382,0.10090910848317229,0.1619596033646418,0.022099265739537532,0.11474567262301145,1.0,-0.18654516328185874,-0.0261515028836635,-0.1330270781310077,0.04486827063675342,-0.02641712807313055,-0.13085253183268208
market_to_book,0.18702581896570844,0.1343736277292725,0.1560602509674228,-0.08874431808872504,-0.037865177576397964,0.285408051774839,-0.014729612089567485,0.04678835506745052,-0.3609670616339664,-0.06925076036119782,0.003681732999358076,-0.21826360535595662,-0.1618508361696505,-0.4848335136054869,-0.05909306948906157,-0.1497071033207012,-0.06474472299529857,0.0900458810496652,-0.0324743845673372,-0.18654516328185874,1.0,0.06224938199611165,-0.01229150578207645,0.05519594638705927,-0.04946232687050874,0.11070067946025416
spec_spread,0.09100057829337498,0.049615560492607416,0.04646236665695234,-0.010573237365179006,0.06412733719909212,-0.026190356672932905,-0.06620617890918319,-0.013156464988483087,-0.015139251305440887,-0.018594342530728,-0.0009042541571223657,-0.008360790279065914,-0.025699385724461597,0.017260398343331814,0.02748286421802581,-0.025705762651214083,-0.00267011656771799,-0.040074956959116254,0.0009579943958934201,-0.0261515028836635,0.06224938199611165,1.0,0.01709414790907125,-0.023404316396560317,-0.018838530145097995,-0.010840588387469423
short_term_borrowings_share,0.08555382422210556,-0.030630495800780876,-0.058107564776872817,-0.2095636563682107,0.11476318491040179,-0.023767895458047073,-0.14181680112761916,0.08348262963188066,-0.006526233960758778,-0.2689984745481202,0.052659782885407964,-0.05079451677537674,-0.06146754241976345,-0.006079859186783638,-0.0025755686674523745,0.00047169860190213615,-0.23291959008233395,-0.16687755847211527,0.2289890556699063,-0.1330270781310077,-0.01229150578207645,0.01709414790907125,1.0,-0.0600312613748726,-0.017255398567405822,0.06567786414501506
total_assets_growth,0.05651732964394725,0.016967960768574167,0.03183020054706052,0.06297300852440181,-0.0006031370515856968,-0.018253470130586365,-0.020315705655050708,-0.15803045977379,0.07499890673704661,0.022779316920676144,-0.1992000366772816,0.17594286912780494,0.13180605381369137,0.05918972100371969,0.010351902218626014,0.1689752999078216,0.026270575449803955,0.06602868529674,-0.0650926689706782,0.04486827063675342,0.05519594638705927,-0.023404316396560317,-0.0600312613748726,1.0,0.025534859143407255,-0.005922092225698166
net_margin_diff,0.011787079719674524,0.017733242502656343,0.017607310682612835,-0.0025810313873758546,0.030410693891523316,0.00030844026174732823,-0.022934960751539904,0.002351400970421696,0.18666499894504746,-0.00020538493588802642,-0.0065666481262515505,0.12568897086327277,0.033644204664372256,0.07736565095788052,-0.019811578185526722,0.1370452269593373,-0.0030749296494811257,0.07280701944423852,-0.005442848962935633,-0.02641712807313055,-0.04946232687050874,-0.018838530145097995,-0.017255398567405822,0.025534859143407255,1.0,0.036368321515612353
is_2y_consecutive_ocf_deficit,0.019178272784911854,-0.0365433280377987,-0.023505306814337563,-0.034447279205065275,-0.09392865471951901,0.011242709368946868,0.06218238567734989,0.03860137847555693,-0.19905604682007944,-0.05311814573334872,-0.10896847343161528,-0.3235416290738016,-0.33653997994233065,-0.09147638896178299,-0.29678537686244283,0.04276967355309935,-0.04506082482165578,0.016967960480480524,-0.14033599704885738,-0.13085253183268208,0.11070067946025416,-0.010840588387469423,0.06567786414501506,-0.005922092225698166,0.036368321515612353,1.0
