market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,listed_year,current_ratio,industry_current_ratio_percentile,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail
KOSPI,003570,에스앤티다이내믹스(주),2025,2026,mid_sized,manufacturing,1976,3.7183479887881616,0.8204930662557781,0.2348667970835922,1228607911,0.7055082172590699,0.417417934386425,0.0456791206515355,-9.122332521013847,0.0864790258566573,116979158,86.33685993964492,0.0640683095845701,0.0695559586055766,0.0908115710309914,-0.1634145648614935,-1.0535283045182018,-0.0830393746794365,-59.73458515733844,0.0982418922418936,9547410,0.0130495008671647,1.967916611755998,1,1.7877113928208488,5.803,0.0,0.1881099167734942,-0.0699719625181417,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,003580,에이치엘비글로벌(주),2025,2026,small_and_medium,wholesale_retail,1990,1.219136864572926,0.41911764705882354,0.361397645953846,117356399,0.6433810226232316,0.5542889413240575,0.0586678703391367,-1.980641726610867,-0.0888350194175396,52869501,-4.36764340634427,-0.0245473960052233,-0.0842131752866752,-0.0381537458241109,-0.2019934043016836,-1.2278387230303338,-0.0842965422161223,-3.736016450662596,-0.0038783057752138,3392437,0.0145217645950435,2.3962240797944734,0,1.5567117198252616,5.803,1.0,-0.1365684170417165,0.0028294091632662,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
KOSPI,003620,케이지모빌리티(주),2025,2026,mid_sized,manufacturing,1975,1.231345879141176,0.37750385208012327,0.0700077876430771,3369204394,0.4406232464387555,1.2695125787826564,0.1306549637605631,-6.33564137633819,0.0108214266393085,460922076,0.9724685339919388,0.0109743288551582,0.010731189554539,0.0249063773730866,0.0622354944730968,0.2664505646866174,0.0272542543046304,3.1547885095223216,-0.0209903923092176,111414841,0.0851281888717612,2.283514851570281,0,0.4771225609923603,5.803,0.681965112490598,0.0852814539247357,0.0021546326243285,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,003650,미창석유공업(주),2025,2026,mid_sized,manufacturing,1989,,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,,5.803,,,,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,003670,(주)포스코퓨처엠,2025,2026,large,manufacturing,2019,1.3086203311102562,0.41140215716486905,0.1928683550709865,9143896516,0.4934525533075269,1.0265372897498923,0.3267083266715307,-100.45634256295546,0.0124279149178526,256218472,0.54237213786625,-0.0010796351405252,0.0035900759531299,-0.0021879208715987,-0.0072492973839541,-0.0112397290805761,-0.0114259511857376,-0.5547659291260034,0.0076662408500949,193089136,0.004684677689106,0.6344589842990903,1,3.686314631023944,5.803,0.0426671350090471,0.152718917883146,0.0749527110348068,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
KOSPI,003680,한성기업(주),2025,2026,mid_sized,manufacturing,1989,,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,,5.803,,,,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,003720,(주)삼영,2025,2026,mid_sized,manufacturing,1976,1.0350712375393294,0.27195685670261943,0.3115278620469886,198418693,0.4449413846305297,1.2474870500759996,0.4262887015388212,-4.193216941176471,0.0982193386505865,29567938,9.381247041086228,0.0739407501288197,0.0752004903086424,0.1661808783874277,0.1683689338274768,0.2192284875113034,0.1210322474628838,11.65844719977517,-0.0176149078857202,6168020,0.0221916641694641,1.3911080505970883,1,2.3723253119499046,5.803,0.5980310473016137,0.4584260680095707,0.0319750566528735,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,003780,진양산업(주),2025,2026,small_and_medium,manufacturing,1973,1.4259228345304278,0.4576271186440678,0.3095417926036638,93689027,0.7165854972535898,0.3955068918260757,0.1194958829063301,-9.328645846153846,0.0766336446576503,17940920,15.813160575576212,0.0893125296306044,0.0901310566497824,0.1246362506259291,0.3491289007284308,0.828046886535096,0.1022595561125868,17.36009468093872,-0.0247960948511078,3576424,0.0430157845486003,3.4141444966184205,1,1.3051081623657033,5.803,0.7498984632421752,-0.0237243490782003,-0.0372405766345723,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
KOSPI,003830,대한화섬(주),2025,2026,mid_sized,manufacturing,1985,,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,,5.803,,,,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,003850,(주)보령,2025,2026,mid_sized,manufacturing,1988,2.600114003028265,0.7249614791987673,0.8927208787199107,1387880346,0.6092043773347015,0.6414852506067804,0.2039887579761144,-18.48450241653125,0.0632014998362173,372282373,5.621119433834065,0.0503281419045327,0.0468820919523274,0.0826129026267355,0.2455428558250613,0.4704037329567266,0.1308957685802665,11.50516426855043,-0.0496253161870194,24582523,0.1007165649422634,1.8758654957932588,1,0.9141811848822516,5.803,0.1341765435944732,0.1922480273874391,-0.0052630202125992,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,003920,남양유업(주),2025,2026,mid_sized,manufacturing,1978,3.6891029771254136,0.8151001540832049,0.4578396271499236,1095486410,0.8663443958195702,0.1542753712178789,0.000912836517981,-205.31924173913043,0.007775493107596,192678165,9.99370882097858,0.0054605305418622,0.0047228637003356,0.0063029559240081,0.183386809605659,26.851111,0.029372795835175,51.86525828216237,-0.0180222701256513,24547828,0.0051315789485695,6.243423698402116,1,0.4223088164155634,5.803,1.0,0.5126980166980845,0.0075131279501859,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,003960,(주)사조대림,2025,2026,mid_sized,manufacturing,1976,0.8847952748754333,0.19106317411402157,0.1767923965773429,2184824778,0.3640345216736644,1.74699222316185,0.2257958070448064,-16.350135592987407,-0.0210192299753915,423423166,2.955143691348432,-0.0270104109007866,0.0433366528764257,-0.074197388688867,0.0451343328779077,0.1271231648333607,0.0179189423930628,1.957328892975994,-0.0623740234787835,57931645,0.0346403719703695,2.518805624118814,1,0.429391456918132,5.803,0.6459037529541877,0.0288544961055534,-0.0572592241600248,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,004000,롯데정밀화학(주),2025,2026,large,manufacturing,1976,4.249621706018584,0.8482280431432974,0.6891264357483373,2746168415,0.8869583867091414,0.1274486097485068,0.0003069221812457,-17.881683,0.0605317466462416,205463026,9.530569442694622,0.0428869618326012,0.0270781473539014,0.0483528454945035,0.9692654743444884,356.98733953444224,0.1716741757803949,38.56390400214909,-0.070934253680869,160284188,0.0071542535019652,5.64595967878343,1,0.4718859012726779,5.803,1.0,0.0119084474296905,0.0387541244557279,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
KOSPI,004020,현대제철(주),2025,2026,large,manufacturing,1987,1.527227295291174,0.4938366718027735,0.1812185025146482,34442304939,0.5760408921278205,0.7359878676427455,0.2041742901485435,-28.735185811976,6.110049282088036e-05,1504318891,0.6042210396773747,-0.0012550778781083,0.0063652870035348,-0.0021787999693428,0.1406135520770083,0.2919779765118089,0.0903196137671419,5.658860687229582,-0.0595740674334664,1666258115,0.0137546277997083,1.5568440365514853,1,0.2088434906466564,5.803,0.1729088340771372,-0.0086773234620931,-0.0003183949199326,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
KOSPI,004060,(주)에스지세계물산,2025,2026,mid_sized,wholesale_retail,1976,2.964869939089101,0.7573529411764706,0.8233496576432633,294194495,0.8874464731231629,0.1268285208026339,0.0465367749318354,-1.57954223629339,0.0066808625872964,58153851,-4.725877787647856,0.0058262171085152,-0.005153825193092,0.0065651476285788,0.1016132305056919,0.2457610597666487,0.0254230063979868,10.487262923309489,-0.0084314392082693,2696316,0.0085389871078315,3.996900638538887,0,0.2628373323222788,5.803,1.0,-0.0456081824973781,-0.0319176507094924,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
KOSPI,004080,(주)신흥,2025,2026,mid_sized,wholesale_retail,1991,1.964937970924488,0.6397058823529411,0.0513352833462597,149632465,0.7752380340723519,0.2899263917005798,0.0703762315216821,-16.228512105176392,0.0285847490322241,31948634,13.6539961952001,0.0327486551798769,0.0473902571878368,0.0422433546092251,0.0572997423530969,0.182999323208461,0.0187812580044554,3.710617625311932,0.0067225117223057,3571522,0.0052116764901253,3.050900122851405,1,1.1457250743611391,5.803,0.8195786001687089,0.0580141615581303,-0.0227179605975161,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KOSPI,004090,한국석유공업(주),2025,2026,mid_sized,manufacturing,1977,1.3664701580476255,0.4352850539291217,0.0701636177079978,413045651,0.4987996012092136,1.0048131505633782,0.3388046785172421,-31.46022662461045,0.007278942512474,64571679,2.388865447915322,0.0183311045199698,0.0286752468433567,0.0367504394059873,0.0317378127945915,0.0469503682741708,0.0094275673235346,1.3251740593132826,-0.0036253450348034,6996028,0.0123045672740904,3.3664901777325418,1,0.8588972690308376,5.803,0.6621895649633602,0.0745077446224515,-0.0105957359326462,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,004100,태양금속공업(주),2025,2026,mid_sized,manufacturing,1976,0.8836061330439107,0.19029275808936827,0.0223248831349164,609338497,0.2729603394810618,2.663535889137405,0.3468758794013962,-7.31626215,0.0049196821857018,96590493,1.8835671394880489,0.0112629827818018,0.0367920295703883,0.0412623416398676,-0.0168706735803439,-0.0353603393056499,-0.0120514376485716,-0.6279396184438147,0.017272777039065,12869267,0.0012189579415331,1.3998888823312725,1,0.5579429696068443,5.803,0.8839788324856908,0.1537424382125558,0.0010774505521055,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,004140,(주)동방,2025,2026,mid_sized,transport_storage,1988,0.970587648347204,0.5416666666666666,0.1184257722527184,664430716,0.268417601271763,2.7255380990739746,0.3824797798782078,-2.390589818475728,0.0190086606629625,83687897,1.8850988809418097,0.0141511534213899,0.0480971894141028,0.0527206612172294,0.0200312674418147,0.038314503028934,0.0106350122860312,0.5743625490405313,0.011538474690264,33077496,0.0178736393637767,1.883520855742228,1,0.6872518519859657,5.803,0.2653435695846597,0.0540991321298964,-0.004833501477222,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
KOSPI,004150,한솔홀딩스(주),2025,2026,mid_sized,it_services,1972,1.673617297934434,0.4752688172043011,0.1796549245774411,888993051,0.7257413714024633,0.3779013287716311,0.0334811211027115,-14.358269241064749,0.0081004481656322,98194143,4.556002270676852,0.0163191331852154,0.0254317983414698,0.0224861553003095,0.2178995698832161,1.7849114736879026,0.0483716979991692,10.70590865664315,-0.0497531346845139,23855000,0.0300267577682111,4.504691356647402,1,0.1964915918315734,5.803,1.0,-0.0473293663782345,0.0061000854704394,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KOSPI,004170,(주)신세계,2025,2026,large,wholesale_retail,1985,0.534561437443332,0.08823529411764706,0.1632869038836232,15833341278,0.4150965848965894,1.409077878222304,0.2180737619037886,-132.51437402725253,0.0093229687596145,4193128609,2.5002001725963168,0.0083477579166218,0.0303133592318188,0.0201103989296888,0.1069631092527773,0.2868895705097743,0.1429515680739957,5.160109176604218,-0.0584828688235643,439799000,0.0171342414867892,0.7482471909465886,1,0.3624812961037136,5.803,0.3026810211682274,0.0505293636857491,-0.0190784227049367,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
KOSPI,004250,엔피씨(주),2025,2026,mid_sized,manufacturing,1969,1.078659651254216,0.2966101694915254,0.2074178115163004,625332153,0.7186745841293722,0.3914503477417881,0.1509523083806631,-20.400491666666667,0.0287319371072484,77106423,5.873471497943227,0.0268908210130049,0.0376977081490322,0.0374172422496078,0.1349542877646769,0.2515103712967501,0.0527212316443152,5.91528365021664,-0.0172753790896147,44055798,0.0024978917084405,2.5597711501724505,1,0.353262911794472,5.803,0.8103456429392081,0.0826192271674819,-0.1367014611529338,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,004270,(주)남성,2025,2026,small_and_medium,wholesale_retail,1989,0.6549826876811823,0.125,0.0484113985185354,278424804,0.3789074769358552,1.6391667118495232,0.3374309208456873,-4.826619566466071,-0.0482154247167342,22788616,0.0253257492775608,-0.0078093329644581,0.000675212830535,-0.0206101316015471,-0.031041112682302,-0.0571358515285153,-0.0692259393432574,-0.7231280336818078,0.0058514219156997,479044,0.0001983910887479,0.4484029104810613,0,0.3013754338976072,5.803,0.9097867720723526,0.0085758622046444,-0.107442969550877,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
KOSPI,004360,세방(주),2025,2026,mid_sized,transport_storage,1977,1.3491804042492934,0.6666666666666666,0.3184620594740657,1495953030,0.807907496935248,0.2377654667068249,0.0466816033655816,-104.10434134535528,0.0528291911756806,135011809,5.735173126888573,0.0481629613731923,0.0182496485200474,0.0596144503620721,0.2422806201760694,0.99697284194004,0.0560660550988464,14.62585017293362,-0.0026869125697081,38013889,0.0137086042066441,4.321342383531715,1,0.2720902261424493,5.803,0.8981804803500716,0.0105867774141339,-0.0094047484150787,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
KOSPI,004370,(주)농심,2025,2026,mid_sized,manufacturing,1976,2.352943208611043,0.6979969183359014,0.3043394647901962,3822122467,0.7407365628506953,0.3500076142475533,0.0107003039157196,-92.09066221553068,0.0483890675154237,1018934417,22.107016725720303,0.057069821253323,0.0481232701432431,0.0770446932357329,0.271158449320302,6.570044377859073,0.0764589388744408,32.295307519603085,-0.0258093205677493,122151893,0.0148975577029829,3.546458443081356,1,0.9292016829757695,5.803,0.646774947117053,0.0624498390228947,0.0025493898816587,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,004380,삼익티에이치케이(주),2025,2026,mid_sized,manufacturing,1989,0.7802376108227335,0.14021571648690292,0.1254392295314045,392780112,0.4007666024597498,1.495217893198771,0.4228895377472676,-13.991728666666669,-0.2025282402827976,4732543,-5.022318571228462,-0.1324124374199475,-0.0902789955923226,-0.3303978839734934,0.1022117377902149,0.1448337714159802,0.1082807037259627,3.407330956428655,-0.1758082369506529,19108855,0.0022500935587084,0.943951546980086,1,1.3097507971236786,5.803,0.9081892757849668,-0.1527596737257252,-0.2075650659902841,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,004410,서울식품공업(주),2025,2026,small_and_medium,manufacturing,1973,,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,,5.803,,,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
KOSPI,004430,송원산업(주),2025,2026,mid_sized,manufacturing,1977,2.1759103872170003,0.6648690292758089,0.3866644702749264,1147312000,0.662513771319397,0.509402586467748,0.1233927650020221,-62.3425,0.002248927501198,142491000,2.9932858317347217,0.0057272999846597,0.0190401564700796,0.0086448014103221,0.1382689139002381,0.3781733418097054,0.0515203596744299,7.335982460948205,-0.0446269192686906,40845000,0.0097558467095262,2.6837722945645943,1,0.2857481154043493,5.803,1.0,-0.0278606973605164,-0.0398815154066696,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,004440,(주)삼일씨엔에스,2025,2026,mid_sized,manufacturing,2016,,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,,5.803,,,,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KOSPI,004450,삼화왕관(주),2025,2026,mid_sized,manufacturing,1976,1.52914227126865,0.49691833590138673,0.5671478381726319,214276081,0.5528783914990493,0.8087160215387004,0.2894169648361265,-9.99793629625985,0.026326608029144,24180206,2.318629116333146,0.0279330524063486,0.0315323528807678,0.0505229591820584,0.1400322586547455,0.2163364867733171,0.0823593661472329,4.603929497725169,-0.0425973676455282,9178182,0.0285772493664376,1.700259062271211,1,0.5328272361418254,5.803,0.21398002968082,0.0506282641970469,-0.0216378181098024,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
