policy_name,policy_type,selection_rule,split,dimension,segment,rows,positive_rows,positive_rate,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8806818181818182,0.8293394777265745,0.5,0.7619047619047619,0.6037735849056604,139,16,5,16
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8344481605351171,0.8127619209423491,0.6702702702702703,0.7654320987654321,0.7146974063400575,375,61,38,124
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,valid,market,KOSDAQ,403,143,0.3548387096774194,0.7816377171215881,0.8008741258741259,0.6424870466321243,0.8671328671328671,0.738095238095238,191,69,19,124
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,valid,market,KOSPI,273,33,0.12087912087912088,0.9340659340659341,0.8579545454545454,0.7142857142857143,0.7575757575757576,0.7352941176470589,230,10,8,25
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.8527131782945736,0.8422887612797375,0.5588235294117647,0.8260869565217391,0.6666666666666667,91,15,4,19
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.82,0.8251686024728363,0.6589595375722543,0.8382352941176471,0.7378640776699029,255,59,22,114
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,test,market,KOSDAQ,427,163,0.38173302107728335,0.7447306791569087,0.7560071574642127,0.6298076923076923,0.803680981595092,0.706199460916442,187,77,32,131
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,test,market,KOSPI,497,40,0.08048289738430583,0.9577464788732394,0.9199945295404814,0.6862745098039216,0.875,0.7692307692307692,441,16,5,35
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8806818181818182,0.8293394777265745,0.5,0.7619047619047619,0.6037735849056604,139,16,5,16
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8327759197324415,0.8251925472873485,0.655,0.808641975308642,0.7237569060773481,367,69,31,131
targeted_kosdaq_it_mfg_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,valid,market,KOSDAQ,403,143,0.3548387096774194,0.7816377171215881,0.8008741258741259,0.6424870466321243,0.8671328671328671,0.738095238095238,191,69,19,124
targeted_kosdaq_it_mfg_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,valid,market,KOSPI,273,33,0.12087912087912088,0.9340659340659341,0.8579545454545454,0.7142857142857143,0.7575757575757576,0.7352941176470589,230,10,8,25
targeted_kosdaq_it_mfg_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.8527131782945736,0.8422887612797375,0.5588235294117647,0.8260869565217391,0.6666666666666667,91,15,4,19
targeted_kosdaq_it_mfg_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.82,0.8251686024728363,0.6589595375722543,0.8382352941176471,0.7378640776699029,255,59,22,114
targeted_kosdaq_it_mfg_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,test,market,KOSDAQ,427,163,0.38173302107728335,0.7447306791569087,0.7560071574642127,0.6298076923076923,0.803680981595092,0.706199460916442,187,77,32,131
targeted_kosdaq_it_mfg_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,test,market,KOSPI,497,40,0.08048289738430583,0.9577464788732394,0.9199945295404814,0.6862745098039216,0.875,0.7692307692307692,441,16,5,35
targeted_kosdaq_it_mfg_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8806818181818182,0.8293394777265745,0.5,0.7619047619047619,0.6037735849056604,139,16,5,16
targeted_kosdaq_it_mfg_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8327759197324415,0.8251925472873485,0.655,0.808641975308642,0.7237569060773481,367,69,31,131
kosdaq_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8213399503722084,0.819055944055944,0.7204968944099379,0.8111888111888111,0.763157894736842,215,45,27,116
kosdaq_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,valid,market,KOSPI,273,33,0.12087912087912088,0.9340659340659341,0.8579545454545454,0.7142857142857143,0.7575757575757576,0.7352941176470589,230,10,8,25
kosdaq_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.875968992248062,0.856439704675964,0.6129032258064516,0.8260869565217391,0.7037037037037037,94,12,4,19
kosdaq_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8466666666666667,0.8296880854252529,0.7278911564625851,0.7867647058823529,0.7561837455830389,274,40,29,107
