error_type,error_note,corp_name,stock_code,market,fiscal_year,eval_year,industry_macro_category,prob_speculative,decision_threshold,actual_label_name,predicted_label_name,probability_distance_from_threshold
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)엑시콘,92870,KOSDAQ,2023,2024,manufacturing,0.0250263408085392,0.32,투기등급,투자적격,0.2949736591914608
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)톱텍,108230,KOSDAQ,2024,2025,manufacturing,0.032736120607528,0.32,투기등급,투자적격,0.287263879392472
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,아진산업(주),13310,KOSDAQ,2024,2025,manufacturing,0.0340500807083598,0.32,투기등급,투자적격,0.2859499192916402
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,제이엠티(주),94970,KOSDAQ,2023,2024,manufacturing,0.0374486010720216,0.32,투기등급,투자적격,0.2825513989279784
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)디알비동일,4840,KOSPI,2023,2024,manufacturing,0.042100862692922,0.32,투기등급,투자적격,0.277899137307078
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)서진시스템,178320,KOSDAQ,2024,2025,manufacturing,0.0501484480129441,0.32,투기등급,투자적격,0.2698515519870559
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,삼보모터스(주),53700,KOSDAQ,2023,2024,manufacturing,0.0536039135366915,0.32,투기등급,투자적격,0.2663960864633085
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,케이지케미칼(주),1390,KOSPI,2023,2024,manufacturing,0.055692814700084,0.32,투기등급,투자적격,0.26430718529991604
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,코리아에프티(주),123410,KOSDAQ,2023,2024,manufacturing,0.0581988854702988,0.32,투기등급,투자적격,0.26180111452970123
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)세원물산,24830,KOSDAQ,2023,2024,manufacturing,0.064722659421699,0.32,투기등급,투자적격,0.255277340578301
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)아이즈비전,31310,KOSDAQ,2023,2024,it_services,0.0811130886128991,0.32,투기등급,투자적격,0.2388869113871009
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,삼보모터스(주),53700,KOSDAQ,2024,2025,manufacturing,0.1076896154847815,0.32,투기등급,투자적격,0.2123103845152185
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,에스넷시스템(주),38680,KOSDAQ,2023,2024,it_services,0.1202063397564772,0.32,투기등급,투자적격,0.1997936602435228
