market,stock_code,corp_name,fiscal_year,eval_year,split,is_speculative,credit_rating,rating_boundary_group,prob_speculative,threshold,stage1_risk,financial_support_count,financial_blocker_count,financial_blocker_count_extended,current_ratio,cash_ratio,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,interest_coverage_ratio,net_margin,ocf_to_sales,ocf_to_total_liabilities,ocf_to_total_borrowings,cashflow_coverage_ratio,short_term_borrowings_share,dividend_payer,is_2y_consecutive_operating_loss,is_2y_consecutive_ocf_deficit,icr_under_1,candidate__dashboard_composite_filter,candidate__financial_resilience_v1_support8_block0,candidate__financial_resilience_strict_support9_block0,candidate__financial_resilience_lax_support7_block0,candidate__financial_resilience_v1_support8_block0_prob_lt_0_85,candidate__financial_resilience_v1_support8_block0_prob_lt_0_90,candidate__extended_blocker_support8_block0,candidate__liquidity_capital_profit_core,candidate__liquidity_capital_profit_core_prob_lt_0_85,candidate__liquidity_capital_profit_core_prob_lt_0_80,candidate__liquidity_capital_profit_core_plus_support8,candidate__liquidity_capital_profit_core_plus_support8_prob_lt_0_85,candidate__liquidity_capital_profit_core_plus_ocf_not_deep_negative,candidate__cashflow_quality_core,candidate__low_borrowing_buffer,candidate__dividend_balance_sheet_buffer,candidate__dashboard_or_financial_resilience_v1
KOSDAQ,241770,(주)메카로,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.4536382231122386,0.315,True,9,1,2,13.235989,1.581062,0.948617,0.054167,0.000285,-35.529079,-96.040548,-0.057817,-0.232082,-0.938118,-168.926054,-107.293565,0.0,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
KOSDAQ,247540,(주)에코프로비엠,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.0618110313637501,0.315,False,10,0,0,1.146476,0.240536,0.366684,1.727145,0.3818,-31.680069,2.239966,0.007924,0.002988,0.007465,0.012382,0.296031,0.644258,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,247540,(주)에코프로비엠,2024,2025,test,0,A-,upper_investment_A_or_above,0.0530764733518868,0.315,False,9,1,1,1.062277,0.384822,0.457256,1.186958,0.414987,-39.396057,-0.395553,-0.021147,0.242206,0.285576,0.373493,7.771409,0.428713,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,250930,(주)예선테크,2023,2024,test,1,B,deep_speculative_B_plus_or_lower,0.8943798196220827,0.315,True,7,3,3,1.025892,0.08828,0.406502,1.460014,0.354967,-5.677224,-8.762235,-0.231396,0.01527,0.020939,0.035009,0.670797,0.486628,0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,251370,와이엠티(주),2023,2024,test,1,BB-,near_speculative_BB_plus_to_BB_minus,0.6359321407780508,0.315,True,9,1,1,1.123941,0.488049,0.592992,0.686362,0.199874,-17.167209,-0.796035,-0.000595,0.059981,0.075134,0.152996,1.919105,0.760354,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,251970,펌텍코리아(주),2023,2024,test,0,A+,upper_investment_A_or_above,0.0076473594513879,0.315,False,12,0,0,2.805921,0.411927,0.807843,0.237864,0.056155,-45.397495,37.592988,0.102389,0.13539,0.562892,1.926157,41.030902,0.897148,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,252990,(주)샘씨엔에스,2023,2024,test,1,BB+,near_speculative_BB_plus_to_BB_minus,0.5169704648938986,0.315,True,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,253590,(주)네오셈,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.0242702056708486,0.315,False,13,0,0,4.300848,1.809456,0.815547,0.226171,0.024608,-18.980772,13.765566,0.082055,0.10478,0.538644,4.03745,18.002227,0.649013,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,254490,미래반도체(주),2023,2024,test,1,BB-,near_speculative_BB_plus_to_BB_minus,0.7715455599943224,0.315,True,13,0,0,2.720829,1.235309,0.537001,0.862193,0.166157,-54.538502,2.315265,0.013308,0.127928,0.704087,1.96195,11.980725,0.443352,0,0,0,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True
KOSDAQ,255220,에스지이(주),2024,2025,test,1,B,deep_speculative_B_plus_or_lower,0.9225433645767552,0.315,True,6,3,3,0.946369,0.428853,0.372689,1.6832,0.115763,-7.941804,-0.799293,-0.304705,0.156338,0.127311,0.689892,2.449273,0.679075,0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,255440,(주)야스,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.666486412922378,0.315,True,6,3,4,2.151478,0.115082,0.762719,0.311099,0.019661,-22.622454,-22.491113,-0.096396,-0.277184,-0.241084,-2.90959,-48.14074,0.025,0,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,256940,(주)킵스바이오파마,2023,2024,test,1,B+,deep_speculative_B_plus_or_lower,0.9003005761335061,0.315,True,8,2,2,0.836907,0.073479,0.499488,1.002051,0.136425,-5.248895,1.507341,0.037587,-0.00062,-0.000973,-0.003571,-0.028139,1.0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,258790,소프트캠프(주),2023,2024,test,1,BB-,near_speculative_BB_plus_to_BB_minus,0.7294158202118697,0.315,True,10,2,2,1.479373,0.181636,0.473452,1.112146,0.235844,-3.603278,-4.585989,-0.322458,0.005736,0.008287,0.018502,0.189312,0.7557,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,259630,(주)엠플러스,2023,2024,test,0,BBB-,near_investment_BBB_plus_to_BBB_minus,0.3048407910607055,0.315,False,10,1,1,1.069914,0.313827,0.231501,3.319636,0.088834,-11.07265,5.028423,0.058826,0.325182,0.449288,3.886784,23.284532,0.778562,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,262260,(주)에이프로,2023,2024,test,0,BBB,near_investment_BBB_plus_to_BBB_minus,0.6073190746587307,0.315,True,8,0,0,1.068035,0.090228,0.293259,2.409956,0.144076,-8.993139,22.8648,0.051147,-0.053408,-0.072366,-0.354976,-18.572876,0.71831,0,0,0,0,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True
KOSDAQ,263020,(주)디케이앤디,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.1444023448861155,0.315,False,12,1,1,2.275552,0.894616,0.728661,0.372381,0.054063,-7.863717,5.173651,0.084465,0.139646,0.489361,2.456076,7.950871,0.980969,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,263770,(주)유에스티,2023,2024,test,0,A-,upper_investment_A_or_above,0.210278924601182,0.315,False,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,263920,(주)휴엠앤씨,2023,2024,test,1,BB-,near_speculative_BB_plus_to_BB_minus,0.1642768108210543,0.315,False,12,1,1,1.440363,0.511232,0.735774,0.359113,0.090849,-0.651313,9.657442,0.212872,0.126799,0.422242,1.228055,12.248072,1.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,264450,(주)유비쿼스,2023,2024,test,0,A,upper_investment_A_or_above,0.0076627531422361,0.315,False,12,1,1,5.430469,0.942122,0.808603,0.2367,0.061319,-31.22659,44.158167,0.17228,0.202696,0.779501,2.433098,46.320333,1.0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,265520,에이피시스템(주),2023,2024,test,0,A+,upper_investment_A_or_above,0.0240008652838315,0.315,False,13,0,0,2.246158,1.434411,0.562697,0.777155,0.133068,-41.061056,10.270749,0.112512,0.092082,0.196722,0.646488,8.393598,0.210526,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,265740,(주)엔에프씨,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.7280750516827005,0.315,True,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,267980,매일유업(주),2024,2025,test,0,AA-,upper_investment_A_or_above,0.0020059508193898,0.315,False,13,0,0,2.835927,0.87082,0.560508,0.784094,0.194878,-145.677075,13.733605,0.025139,0.041157,0.16529,0.372764,14.556921,0.0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,270870,(주)뉴트리,2023,2024,test,0,A-,upper_investment_A_or_above,0.0747005619203382,0.315,False,12,1,1,4.050557,0.814469,0.763543,0.309684,0.03767,-21.0313,20.915378,0.030821,0.053992,0.260411,1.634623,16.244087,1.0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,271830,팸텍(주),2023,2024,test,0,A-,upper_investment_A_or_above,0.0279063152959589,0.315,False,13,0,0,3.027767,1.794353,0.741233,0.349104,0.015538,-22.659232,91.316916,0.078132,0.109565,0.442194,7.364034,88.826727,0.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,271830,팸텍(주),2024,2025,test,0,A-,upper_investment_A_or_above,0.1961652161580356,0.315,False,9,1,1,3.384184,1.808408,0.760923,0.314194,0.116649,-21.653999,-17.717835,-0.002022,-0.011146,-0.023553,-0.048272,-2.35004,0.023583,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,272110,(주)케이엔제이,2023,2024,test,0,BBB-,near_investment_BBB_plus_to_BBB_minus,0.3851820916229586,0.315,True,13,0,0,1.746182,0.602817,0.51528,0.940691,0.343962,-15.363466,5.179884,0.173796,0.206617,0.208819,0.294272,5.512512,0.367342,0,0,0,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True
KOSDAQ,275630,(주)에스에스알,2023,2024,test,0,BBB-,near_investment_BBB_plus_to_BBB_minus,0.4638658622422149,0.315,True,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,277810,(주)레인보우로보틱스,2023,2024,test,0,BBB,near_investment_BBB_plus_to_BBB_minus,0.6693790894649959,0.315,True,8,1,1,117.078218,87.166821,0.985256,0.014965,0.0,-12.46981,-145.385647,-0.055228,-0.030702,-0.239582,,-1.527392,,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,281740,(주)레이크머티리얼즈,2023,2024,test,1,BB+,near_speculative_BB_plus_to_BB_minus,0.6568035379511985,0.315,True,9,0,0,1.148024,0.346016,0.369277,1.707994,0.535598,-15.846806,4.688118,0.206885,0.12542,0.078109,0.091982,2.345638,0.49469,0,0,0,0,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
KOSDAQ,288620,에스퓨얼셀(주),2023,2024,test,0,BBB-,near_investment_BBB_plus_to_BBB_minus,0.6936992290408686,0.315,True,6,3,3,1.72917,0.075056,0.479682,1.084716,0.241731,-18.881985,-0.678456,-0.070221,-0.109142,-0.047168,-0.101528,-0.970272,0.962819,1,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,289220,(주)자이언트스텝,2023,2024,test,1,BB-,near_speculative_BB_plus_to_BB_minus,0.813098256315492,0.315,True,7,4,5,2.998656,0.519333,0.775917,0.288797,4.4e-05,-7.916469,-53.18136,-0.594716,-0.313889,-0.466271,-2397.200903,-27.102494,0.0,0,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,290120,(주)디에이치오토리드,2024,2025,test,1,B+,deep_speculative_B_plus_or_lower,0.7419388523574431,0.315,True,10,0,0,1.237332,0.14807,0.351982,1.841051,0.166053,-11.545506,3.668889,0.008504,0.023129,0.034904,0.136211,1.387284,0.448494,0,0,0,0,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
KOSDAQ,290560,파라택시스이더리움(주),2023,2024,test,0,BBB-,near_investment_BBB_plus_to_BBB_minus,0.4391520077164831,0.315,True,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,290720,(주)푸드나무,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.9168286904425104,0.315,True,3,5,5,1.042323,0.305516,0.199391,4.015269,0.596569,-2.444126,-6.805947,-0.104843,-0.117637,-0.242054,-0.324842,-8.579398,0.536615,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,294140,(주)레몬,2023,2024,test,1,B,deep_speculative_B_plus_or_lower,0.5241309381807383,0.315,True,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,294570,(주)쿠콘,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.0147355754362346,0.315,False,13,0,0,1.434951,0.947284,0.617496,0.619444,0.027271,-23.995408,60.481793,0.10494,0.433608,0.373406,5.237449,108.097315,0.010601,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,297090,씨에스베어링(주),2023,2024,test,1,BB+,near_speculative_BB_plus_to_BB_minus,0.9334487642474472,0.315,True,7,3,3,1.417145,0.373634,0.571933,0.748457,0.254612,-5.283084,0.021245,-0.021017,-0.03309,-0.039535,-0.066468,-0.943625,1.0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,297890,에이치비솔루션(주),2023,2024,test,0,BBB,near_investment_BBB_plus_to_BBB_minus,0.3005434285990345,0.315,False,12,0,0,2.283569,1.00282,0.77107,0.2969,0.0,-5.601028,3.509453,0.786357,0.134686,0.189834,,6.720384,,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,298830,슈어소프트테크(주),2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.0735589938467225,0.315,False,13,0,0,1.516059,0.414128,0.606938,0.647614,0.151777,-16.955054,6.528683,0.092156,0.231868,0.23609,0.611408,8.350967,0.474153,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,299900,(주)위지윅스튜디오,2023,2024,test,0,BBB,near_investment_BBB_plus_to_BBB_minus,0.1993224172803691,0.315,False,6,4,5,0.717213,0.306326,0.693763,0.441415,0.022912,-1.734996,-8.499213,0.316783,-0.014056,-0.020058,-0.268091,-0.867884,0.93204,0,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
