variant,feature_count,best_iteration,threshold_tuned,max_depth,min_child_weight,reg_lambda,subsample,colsample_bytree,scale_pos_weight_multiplier,scale_pos_weight,valid_pr_auc,valid_roc_auc,valid_brier,valid_logloss,test_pr_auc,test_roc_auc,test_brier,test_logloss,valid_precision_at_threshold,valid_recall_at_threshold,valid_f1_at_threshold,valid_true_negative_at_threshold,valid_false_positive_at_threshold,valid_false_negative_at_threshold,valid_true_positive_at_threshold,test_precision_at_threshold,test_recall_at_threshold,test_f1_at_threshold,test_true_negative_at_threshold,test_false_positive_at_threshold,test_false_negative_at_threshold,test_true_positive_at_threshold
feature_45_tuned_036,45,114,0.295,5,3,0.5,0.75,0.9,1.2,4.0633257403189065,0.8107245615775069,0.9230625,0.09692854258037473,0.3043497024225863,0.7640692071759975,0.9030295843955654,0.10588278647584115,0.33332437090089906,0.6276150627615062,0.8522727272727273,0.7228915662650602,411,89,26,150,0.5761316872427984,0.8383233532934131,0.6829268292682927,402,103,27,140
feature_45_tuned_037,45,111,0.33,5,3,3.0,0.75,0.9,1.5,5.079157175398633,0.8155292076607125,0.9242045454545454,0.09581698845400587,0.3019530544709042,0.7680166509871138,0.9036876741566372,0.1053423870382762,0.3314107430077551,0.646551724137931,0.8522727272727273,0.7352941176470589,418,82,26,150,0.594017094017094,0.8323353293413174,0.6932668329177057,410,95,28,139
feature_45_tuned_038,45,309,0.275,5,3,3.0,0.9,0.9,0.8,2.708883826879271,0.8219238645579191,0.9289488636363636,0.09296456818738073,0.29262744720781303,0.7756000816747939,0.9089286772988676,0.10229985502736297,0.32107139621036546,0.6416666666666667,0.875,0.7403846153846154,414,86,22,154,0.6033755274261603,0.8562874251497006,0.7079207920792079,411,94,24,143
feature_45_tuned_039,45,325,0.305,5,3,3.0,0.9,0.9,1.5,5.079157175398633,0.8238166567098294,0.929159090909091,0.09238454294362827,0.29005131548915286,0.776981582824619,0.9097883441038714,0.10185091215677808,0.32011251460251794,0.6521739130434783,0.8522727272727273,0.7389162561576355,420,80,26,150,0.6200873362445415,0.8502994011976048,0.7171717171717171,418,87,25,142
feature_45_tuned_040,45,292,0.275,5,3,6.0,0.75,0.75,1.5,5.079157175398633,0.8137197799082698,0.9253068181818183,0.09557839690129681,0.2982823642554623,0.7765286061459347,0.9079445070255528,0.10289496557090981,0.3231438074562331,0.6378600823045267,0.8806818181818182,0.7398568019093079,412,88,21,155,0.5809128630705395,0.8383233532934131,0.6862745098039216,404,101,27,140
feature_45_tuned_041,45,193,0.33,5,5,0.5,0.9,0.75,1.0,3.3861047835990887,0.8107452887650033,0.9246534090909091,0.09617643900595217,0.30052597645625834,0.7677707533244847,0.9048200628446078,0.10529120677160328,0.3283190510846195,0.6550218340611353,0.8522727272727273,0.7407407407407407,421,79,26,150,0.6272727272727273,0.8263473053892215,0.7131782945736435,423,82,29,138
feature_45_tuned_042,45,153,0.335,5,5,1.0,0.9,0.9,1.2,4.0633257403189065,0.8186738428878632,0.9286931818181818,0.09339871591479665,0.2955371054471594,0.7642254456249026,0.9041441868737772,0.10482332294475227,0.3301899141052279,0.6741071428571429,0.8579545454545454,0.755,427,73,25,151,0.6398104265402843,0.8083832335329342,0.7142857142857143,429,76,32,135
feature_45_tuned_043,45,180,0.33,5,5,3.0,0.9,0.9,1.2,4.0633257403189065,0.812976031406327,0.9264488636363636,0.09466623730083586,0.29835372621427736,0.7608667047678063,0.9014762554099721,0.10606342816609893,0.33299892923944274,0.672645739910314,0.8522727272727273,0.7518796992481203,427,73,26,150,0.6255924170616114,0.7904191616766467,0.6984126984126984,426,79,35,132
feature_45_tuned_044,45,212,0.29,5,5,6.0,0.75,0.75,1.0,3.3861047835990887,0.8141455598939323,0.9244602272727273,0.09488749983910098,0.29920687127240486,0.7700287915404108,0.9058813066935436,0.10433654798012919,0.3251849145482496,0.6329113924050633,0.8522727272727273,0.7263922518159807,413,87,26,150,0.6016949152542372,0.8502994011976048,0.7047146401985112,411,94,25,142
feature_45_tuned_045,45,192,0.325,5,8,0.5,0.9,0.75,1.2,4.0633257403189065,0.8083683795465478,0.9234772727272728,0.09610022171792641,0.3023050571219914,0.7651622790050755,0.9036936028932235,0.10569145330512189,0.3301409104719531,0.6637168141592921,0.8522727272727273,0.746268656716418,424,76,26,150,0.6017699115044248,0.8143712574850299,0.6921119592875318,415,90,31,136
feature_45_tuned_046,45,90,0.335,5,8,3.0,0.75,0.9,1.5,5.079157175398633,0.8080542881491293,0.9215056818181818,0.09695540406316933,0.30852120397949023,0.7639599677337663,0.9038892512005692,0.10458829322666034,0.33114134505377535,0.6666666666666666,0.8522727272727273,0.7481296758104738,425,75,26,150,0.6071428571428571,0.8143712574850299,0.6956521739130435,417,88,31,136
feature_45_tuned_047,45,137,0.32,5,8,3.0,0.9,0.9,1.0,3.3861047835990887,0.8149895305463216,0.9256590909090909,0.09480952212595921,0.2998128479017775,0.7709668919961683,0.9072271298986185,0.10359863521855693,0.32626027116131634,0.6536796536796536,0.8579545454545454,0.742014742014742,420,80,25,151,0.6194690265486725,0.8383233532934131,0.712468193384224,419,86,27,140
feature_45_tuned_048,45,236,0.295,5,8,6.0,0.75,0.9,1.5,5.079157175398633,0.8150545614260014,0.926221590909091,0.09472370387654591,0.2970923873239226,0.7763454945113726,0.9072923460010672,0.1031968728726352,0.32489078017891065,0.634453781512605,0.8579545454545454,0.7294685990338164,413,87,25,151,0.5907172995780591,0.8383233532934131,0.693069306930693,408,97,27,140
