dimension,segment,rows,positive_rows,negative_rows,positive_rate,pr_auc,roc_auc,precision,recall,f1,true_positive,true_negative,false_positive,false_negative,fp_rate_among_negatives,fn_rate_among_positives,fp_share_of_total_fp,fn_share_of_total_fn,error_count,error_share
industry_x_firm_size,it_services / mid_sized,64,6,58,0.09375,0.4782679738562091,0.9252873563218391,0.6,0.5,0.5454545454545454,3,56,2,3,0.034482758620689655,0.5,0.02247191011235955,0.1,5,0.04201680672268908
industry_macro_category,wholesale_retail,63,14,49,0.2222222222222222,0.8448474144902718,0.9723032069970845,0.7647058823529411,0.9285714285714286,0.8387096774193549,13,45,4,1,0.08163265306122448,0.07142857142857142,0.0449438202247191,0.03333333333333333,5,0.04201680672268908
market_x_rating_boundary,KOSPI / near_speculative_BB_plus_to_BB_minus,28,27,1,0.9642857142857143,0.9986772486772484,0.9629629629629629,1.0,0.8518518518518519,0.92,23,1,0,4,0.0,0.14814814814814814,0.0,0.13333333333333333,4,0.03361344537815126
market_x_industry,KOSDAQ / wholesale_retail,22,11,11,0.5,0.8280237439328347,0.884297520661157,0.7692307692307693,0.9090909090909091,0.8333333333333334,10,8,3,1,0.2727272727272727,0.09090909090909091,0.033707865168539325,0.03333333333333333,4,0.03361344537815126
firm_size_group,large,256,1,255,0.00390625,1.0,1.0,0.2,1.0,0.3333333333333333,1,251,4,0,0.01568627450980392,0.0,0.0449438202247191,0.0,4,0.03361344537815126
market_x_firm_size,KOSPI / large,237,1,236,0.004219409282700422,1.0,1.0,0.2,1.0,0.3333333333333333,1,232,4,0,0.01694915254237288,0.0,0.0449438202247191,0.0,4,0.03361344537815126
industry_x_firm_size,manufacturing / large,119,0,119,0.0,,,0.0,0.0,0.0,0,115,4,0,0.03361344537815126,,0.0449438202247191,0.0,4,0.03361344537815126
market_x_rating_boundary,KOSPI / upper_investment_A_or_above,336,0,336,0.0,,,0.0,0.0,0.0,0,332,4,0,0.011904761904761904,,0.0449438202247191,0.0,4,0.03361344537815126
credit_rating,B+,23,22,1,0.9565217391304348,0.9999999999999998,1.0,1.0,0.8636363636363636,0.926829268292683,19,1,0,3,0.0,0.13636363636363635,0.0,0.1,3,0.025210084033613446
rating_boundary_group,deep_speculative_B_plus_or_lower,66,65,1,0.9848484848484849,1.0,1.0,1.0,0.9538461538461539,0.9763779527559056,62,1,0,3,0.0,0.046153846153846156,0.0,0.1,3,0.025210084033613446
market_x_rating_boundary,KOSDAQ / deep_speculative_B_plus_or_lower,52,52,0,1.0,,,1.0,0.9423076923076923,0.9702970297029703,49,0,0,3,,0.057692307692307696,0.0,0.1,3,0.025210084033613446
industry_x_firm_size,wholesale_retail / small_and_medium,11,7,4,0.6363636363636364,0.8121315192743763,0.75,0.7,1.0,0.8235294117647058,7,1,3,0,0.75,0.0,0.033707865168539325,0.0,3,0.025210084033613446
credit_rating,BB-,28,28,0,1.0,,,1.0,0.9285714285714286,0.9629629629629629,26,0,0,2,,0.07142857142857142,0.0,0.06666666666666667,2,0.01680672268907563
industry_x_firm_size,wholesale_retail / mid_sized,18,7,11,0.3888888888888889,0.982142857142857,0.987012987012987,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,10,1,1,0.09090909090909091,0.14285714285714285,0.011235955056179775,0.03333333333333333,2,0.01680672268907563
industry_macro_category,construction,44,6,38,0.13636363636363635,0.7579365079365078,0.9649122807017545,0.75,1.0,0.8571428571428571,6,36,2,0,0.05263157894736842,0.0,0.02247191011235955,0.0,2,0.01680672268907563
market_x_industry,KOSPI / construction,29,3,26,0.10344827586206896,0.7555555555555555,0.9615384615384616,0.6,1.0,0.75,3,24,2,0,0.07692307692307693,0.0,0.02247191011235955,0.0,2,0.01680672268907563
industry_x_firm_size,construction / mid_sized,26,4,22,0.15384615384615385,0.6916666666666667,0.9318181818181818,0.6666666666666666,1.0,0.8,4,20,2,0,0.09090909090909091,0.0,0.02247191011235955,0.0,2,0.01680672268907563
