market,stock_code,corp_name,fiscal_year,eval_year,industry_macro_category,firm_size_group,split,is_speculative,prob_speculative,feature,rank,shap_value,abs_shap,direction,feature_value,stock_code_norm,firm_size_group_score,industry_macro_category_score,error_type,is_speculative_score,predicted_current,actual_label_name,predicted_label_name,prob_speculative_score,threshold,probability_distance_from_threshold,feature_group,korean_name,description,case_id
KOSPI,3620,케이지모빌리티(주),2023,2024,manufacturing,mid_sized,test,1,0.0307287380482937,total_debt_turnover,7,-0.3474090993404388,0.3474090993404388,decrease_risk,2.406367,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0307287380482937,0.315,0.2842712619517063,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,KOSPI|003620|케이지모빌리티(주)|2023|2024
KOSPI,3620,케이지모빌리티(주),2023,2024,manufacturing,mid_sized,test,1,0.0307287380482937,dividend_payer,8,0.3043209910392761,0.3043209910392761,increase_risk,0,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0307287380482937,0.315,0.2842712619517063,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,KOSPI|003620|케이지모빌리티(주)|2023|2024
KOSPI,3620,케이지모빌리티(주),2023,2024,manufacturing,mid_sized,test,1,0.0307287380482937,short_term_borrowings_share,9,-0.2930315732955932,0.2930315732955932,decrease_risk,0.294346,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0307287380482937,0.315,0.2842712619517063,trend_early_warning,단기차입금 비중,총차입금 중 단기차입금 비중,KOSPI|003620|케이지모빌리티(주)|2023|2024
KOSPI,3620,케이지모빌리티(주),2023,2024,manufacturing,mid_sized,test,1,0.0307287380482937,equity_ratio,10,0.1883966475725174,0.1883966475725174,increase_risk,0.410829,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0307287380482937,0.315,0.2842712619517063,stability_leverage,자기자본비율,총자산 대비 자기자본 비율,KOSPI|003620|케이지모빌리티(주)|2023|2024
KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,test,1,0.0314177294021568,capital_impairment_ratio,1,-0.5324370265007019,0.5324370265007019,decrease_risk,-20.642183,108230,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,KOSDAQ|108230|(주)톱텍|2024|2025
KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,test,1,0.0314177294021568,net_margin,2,-0.4821985065937042,0.4821985065937042,decrease_risk,0.068742,108230,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,profitability_returns,순이익률,매출액 대비 당기순이익 비율,KOSDAQ|108230|(주)톱텍|2024|2025
KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,test,1,0.0314177294021568,interest_coverage_ratio,3,0.4524213671684265,0.4524213671684265,increase_risk,2.030646,108230,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,profitability_returns,이자보상배율,영업이익 대비 이자비용 배수,KOSDAQ|108230|(주)톱텍|2024|2025
KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,test,1,0.0314177294021568,dividend_payer,4,-0.4343389570713043,0.4343389570713043,decrease_risk,1,108230,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,KOSDAQ|108230|(주)톱텍|2024|2025
KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,test,1,0.0314177294021568,assets_total,5,-0.4176686108112335,0.4176686108112335,decrease_risk,616469709,108230,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,stability_leverage,자산총계,총자산,KOSDAQ|108230|(주)톱텍|2024|2025
KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,test,1,0.0314177294021568,equity_ratio,6,-0.4037981033325195,0.4037981033325195,decrease_risk,0.67222,108230,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,stability_leverage,자기자본비율,총자산 대비 자기자본 비율,KOSDAQ|108230|(주)톱텍|2024|2025
KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,test,1,0.0314177294021568,cashflow_coverage_ratio,7,-0.3899133503437042,0.3899133503437042,decrease_risk,20.635395,108230,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,cashflow_structure,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,KOSDAQ|108230|(주)톱텍|2024|2025
KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,test,1,0.0314177294021568,gross_profit,8,-0.3217930495738983,0.3217930495738983,decrease_risk,55274258,108230,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,profitability_returns,매출총이익,매출총이익(손실),KOSDAQ|108230|(주)톱텍|2024|2025
KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,test,1,0.0314177294021568,total_borrowings_ratio,9,-0.2530488967895508,0.2530488967895508,decrease_risk,0.07941,108230,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,stability_leverage,총차입금비율,총자산 대비 총차입금 비율,KOSDAQ|108230|(주)톱텍|2024|2025
KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,test,1,0.0314177294021568,net_margin_diff,10,-0.2251595705747604,0.2251595705747604,decrease_risk,-0.01128,108230,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,trend_early_warning,순이익률 변화,전년 대비 순이익률 변화폭,KOSDAQ|108230|(주)톱텍|2024|2025
KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,test,1,0.045508394316246,depreciation,1,-1.0218843221664429,1.0218843221664429,decrease_risk,92254102,178320,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,cashflow_structure,감가상각비,감가상각비,KOSDAQ|178320|(주)서진시스템|2024|2025
KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,test,1,0.045508394316246,gross_profit,2,-0.8409801721572876,0.8409801721572876,decrease_risk,213424277,178320,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,profitability_returns,매출총이익,매출총이익(손실),KOSDAQ|178320|(주)서진시스템|2024|2025
KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,test,1,0.045508394316246,assets_total,3,-0.7907289266586304,0.7907289266586304,decrease_risk,2103214253,178320,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,stability_leverage,자산총계,총자산,KOSDAQ|178320|(주)서진시스템|2024|2025
