prediction_result,market,stock_code,corp_name,fiscal_year,eval_year,credit_rating,credit_rating_rank,rating_boundary_group,rating_agency_group,selection_scope,industry_macro_category,firm_size_group,prob_speculative,threshold,distance_from_threshold,actual_label_name,predicted_label_name,confidence_error_score
false_positive,KOSDAQ,052900,(주)케이엑스하이텍,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.665292497054135,0.32,0.34529249705413495,투자적격,투기등급,0.665292497054135
false_positive,KOSDAQ,054540,삼영엠텍(주),2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.6512072366928362,0.32,0.3312072366928362,투자적격,투기등급,0.6512072366928362
false_positive,KOSDAQ,068240,(주)다원시스,2023,2024,A,6.0,upper_investment_A_or_above,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.6506504146194423,0.32,0.3306504146194423,투자적격,투기등급,0.6506504146194423
false_positive,KOSDAQ,272110,(주)케이엔제이,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.6218946524586308,0.32,0.30189465245863084,투자적격,투기등급,0.6218946524586308
false_positive,KOSDAQ,043910,(주)자연과환경,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.6134799640319117,0.32,0.29347996403191173,투자적격,투기등급,0.6134799640319117
false_positive,KOSDAQ,036090,(주)위지트,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.6115068556979507,0.32,0.2915068556979507,투자적격,투기등급,0.6115068556979507
false_positive,KOSDAQ,027710,(주)팜스토리,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,mid_sized,0.5906071315391135,0.32,0.2706071315391135,투자적격,투기등급,0.5906071315391135
false_positive,KOSDAQ,239610,(주)에이치엘사이언스,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.588365610962281,0.32,0.268365610962281,투자적격,투기등급,0.588365610962281
false_positive,KOSDAQ,288620,에스퓨얼셀(주),2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.5831644362650883,0.32,0.2631644362650883,투자적격,투기등급,0.5831644362650883
false_positive,KOSDAQ,086710,선진뷰티사이언스(주),2023,2024,A-,7.0,upper_investment_A_or_above,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.5823590159532264,0.32,0.26235901595322636,투자적격,투기등급,0.5823590159532264
false_positive,KOSDAQ,208350,(주)지란지교시큐리티,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,it_services,small_and_medium,0.573353823875097,0.32,0.25335382387509703,투자적격,투기등급,0.573353823875097
false_positive,KOSDAQ,277810,(주)레인보우로보틱스,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.5661383714959182,0.32,0.24613837149591816,투자적격,투기등급,0.5661383714959182
false_positive,KOSPI,378850,(주)화승알앤에이,2024,2025,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,mid_sized,0.5594862989344999,0.32,0.23948629893449985,투자적격,투기등급,0.5594862989344999
false_positive,KOSDAQ,014970,삼륭물산(주),2023,2024,A-,7.0,upper_investment_A_or_above,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.5572556094331033,0.32,0.23725560943310325,투자적격,투기등급,0.5572556094331033
false_positive,KOSPI,004540,깨끗한나라(주),2024,2025,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,mid_sized,0.5458402432224997,0.32,0.22584024322249968,투자적격,투기등급,0.5458402432224997
false_positive,KOSDAQ,085670,(주)뉴프렉스,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.5377859706422137,0.32,0.21778597064221367,투자적격,투기등급,0.5377859706422137
false_positive,KOSDAQ,255440,(주)야스,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.5295585979481864,0.32,0.20955859794818638,투자적격,투기등급,0.5295585979481864
false_positive,KOSPI,079980,(주)휴비스,2024,2025,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,mid_sized,0.5224898653898492,0.32,0.2024898653898492,투자적격,투기등급,0.5224898653898492
false_positive,KOSPI,298000,효성화학(주),2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,large,0.520329761319186,0.32,0.20032976131918595,투자적격,투기등급,0.520329761319186
