comparison,feature,error_median,reference_median,median_delta,standardized_median_delta,abs_standardized_median_delta,error_mean,reference_mean,error_missing_rate,reference_missing_rate,error_rows,reference_rows
false_negative_vs_true_positive,intangible_assets_ratio,0.00458565726915755,0.0072989399686512,-0.0027132826994936497,-0.11621252979455303,0.11621252979455303,0.013081091908760167,0.020850031954427063,0.0,0.0,30,173
false_negative_vs_true_positive,gross_profit,64454348.0,13814120.0,50640228.0,0.10642268756133771,0.10642268756133771,133661949.71406667,20875795.038369942,0.0,0.0,30,173
false_negative_vs_true_positive,depreciation,9933294.5,2589524.0,7343770.5,0.09158930024448397,0.09158930024448397,31682504.484333333,6738786.759988439,0.0,0.0,30,173
false_negative_vs_true_positive,assets_total,412237159.5,128821585.0,283415574.5,0.09015395037758128,0.09015395037758128,978815849.9024665,257301049.99441043,0.0,0.0,30,173
false_negative_vs_true_positive,current_ratio,1.2984177952315654,1.224867942777971,0.07354985245359447,0.06379518816584896,0.06379518816584896,1.6616298024727734,1.9316228989869344,0.0,0.0,30,173
false_negative_vs_true_positive,short_term_borrowings_share,0.7324133251527924,0.7643172039942352,-0.031903878841442745,-0.0529523420335221,0.0529523420335221,0.638421114459844,0.6593653860931277,0.03333333333333333,0.07514450867052024,30,173
false_negative_vs_true_positive,cash_ratio,0.23954692709044825,0.2531607037449316,-0.01361377665448335,-0.03597422494357756,0.03597422494357756,0.3938740895661111,0.6458611601614412,0.0,0.0,30,173
false_negative_vs_true_positive,spec_spread,6.374,6.374,0.0,0.0,0.0,6.306333333333332,6.315329479768787,0.0,0.0,30,173
false_negative_vs_true_positive,is_2y_consecutive_ocf_deficit,0.0,0.0,0.0,0.0,0.0,0.0,0.2543352601156069,0.0,0.0,30,173
false_negative_vs_true_positive,is_2y_consecutive_operating_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.31213872832369943,0.0,0.0,30,173
false_positive_vs_true_negative,icr_under_1,1.0,0.0,1.0,1.0,1.0,0.581081081081081,0.1731066460587326,0.0,0.0,74,647
false_positive_vs_true_negative,dividend_payer,0.0,1.0,-1.0,-1.0,1.0,0.22972972972972974,0.7758887171561051,0.0,0.0,74,647
false_positive_vs_true_negative,operating_roa,-0.001452625921884,0.0409092222344736,-0.0423618481563576,-0.8065739079809645,0.8065739079809645,-0.00759712921872236,0.047315092701475124,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,ocf_to_sales,0.0074489041824676,0.07908255303011485,-0.07163364884764725,-0.6929601759121126,0.6929601759121126,0.0010276313586857278,0.08218169594924173,0.013513513513513514,0.0015455950540958269,74,647
false_positive_vs_true_negative,ocf_to_total_liabilities,0.0129676813953066,0.1362777189252631,-0.1233100375299565,-0.6195010372946955,0.6195010372946955,0.018741983306783696,0.20315288212865915,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,pretax_roe,-0.0004514116398706,0.0758622915633224,-0.076313703203193,-0.5930116159713552,0.5930116159713552,-0.03355186171519136,0.07576646553147477,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,interest_coverage_ratio,-0.0749803993235359,3.8056052058326864,-3.8805856051562224,-0.5672844633449832,0.5672844633449832,10166.51136504406,7773.023791597692,0.0,0.0,74,647
false_positive_vs_true_negative,ocf_to_total_borrowings,-0.0141934609270963,0.31150388007063545,-0.32569734099773173,-0.5563425374591043,0.5563425374591043,-10.83577942594365,61.84092646097904,0.14864864864864866,0.11901081916537867,74,647
