threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,delta_precision,delta_recall,delta_f1,delta_false_positive,delta_false_negative
0.37,0.6536585365853659,0.8023952095808383,0.7204301075268817,434,71,33,134,0.013658536585365866,-0.05988023952095811,-0.0142637700241387,-10,10
0.375,0.6567164179104478,0.7904191616766467,0.717391304347826,436,69,35,132,0.016716417910447756,-0.07185628742514971,-0.017302573203194394,-12,12
0.38,0.6565656565656566,0.7784431137724551,0.7123287671232876,437,68,37,130,0.01656565656565656,-0.08383233532934131,-0.022365110427732815,-13,14
0.385,0.6632653061224489,0.7784431137724551,0.7162534435261708,439,66,37,130,0.023265306122448925,-0.08383233532934131,-0.018440434024849628,-15,14
0.39,0.6649484536082474,0.7724550898203593,0.7146814404432132,440,65,38,129,0.02494845360824738,-0.08982035928143717,-0.0200124371078072,-16,15
0.395,0.6632124352331606,0.7664670658682635,0.7111111111111111,440,65,39,128,0.023212435233160633,-0.09580838323353291,-0.02358276643990931,-16,16
0.4,0.6614583333333334,0.7604790419161677,0.7075208913649025,440,65,40,127,0.021458333333333357,-0.10179640718562877,-0.027172986186117964,-16,17
0.405,0.6614583333333334,0.7604790419161677,0.7075208913649025,440,65,40,127,0.021458333333333357,-0.10179640718562877,-0.027172986186117964,-16,17
0.41,0.6614583333333334,0.7604790419161677,0.7075208913649025,440,65,40,127,0.021458333333333357,-0.10179640718562877,-0.027172986186117964,-16,17
0.415,0.6596858638743456,0.7544910179640718,0.7039106145251397,440,65,41,126,0.019685863874345566,-0.10778443113772462,-0.030783263025880747,-16,18
0.42,0.6631578947368421,0.7544910179640718,0.7058823529411765,441,64,41,126,0.023157894736842044,-0.10778443113772462,-0.02881152460984393,-17,18
0.425,0.6666666666666666,0.7544910179640718,0.7078651685393258,442,63,41,126,0.026666666666666616,-0.10778443113772462,-0.02682870901169465,-18,18
0.43,0.6666666666666666,0.7425149700598802,0.7025495750708215,443,62,43,124,0.026666666666666616,-0.11976047904191622,-0.03214430248019895,-19,20
0.435,0.6666666666666666,0.7305389221556886,0.6971428571428572,444,61,45,122,0.026666666666666616,-0.13173652694610782,-0.03755102040816327,-20,22
0.44,0.6666666666666666,0.7305389221556886,0.6971428571428572,444,61,45,122,0.026666666666666616,-0.13173652694610782,-0.03755102040816327,-20,22
0.445,0.6648351648351648,0.7245508982035929,0.6934097421203438,444,61,46,121,0.02483516483516479,-0.13772455089820357,-0.04128413543067666,-20,23
0.45,0.6685082872928176,0.7245508982035929,0.6954022988505747,445,60,46,121,0.028508287292817625,-0.13772455089820357,-0.03929157870044575,-21,23
0.455,0.6722222222222223,0.7245508982035929,0.6974063400576369,446,59,46,121,0.03222222222222226,-0.13772455089820357,-0.03728753749338354,-22,23
0.46,0.6685393258426966,0.7125748502994012,0.6898550724637681,446,59,48,119,0.028539325842696583,-0.14970059880239528,-0.044838805087252354,-22,25
0.465,0.6704545454545454,0.7065868263473054,0.6880466472303207,447,58,49,118,0.0304545454545454,-0.15568862275449102,-0.04664723032069973,-23,26
0.47,0.6724137931034483,0.7005988023952096,0.6862170087976539,448,57,50,117,0.032413793103448274,-0.16167664670658688,-0.04847686875336654,-24,27
0.475,0.6724137931034483,0.7005988023952096,0.6862170087976539,448,57,50,117,0.032413793103448274,-0.16167664670658688,-0.04847686875336654,-24,27
0.48,0.6744186046511628,0.6946107784431138,0.6843657817109144,449,56,51,116,0.034418604651162754,-0.16766467065868262,-0.050328095840106,-25,28
0.485,0.672514619883041,0.688622754491018,0.6804733727810651,449,56,52,115,0.03251461988304094,-0.17365269461077848,-0.054220504769955324,-25,29
0.49,0.672514619883041,0.688622754491018,0.6804733727810651,449,56,52,115,0.03251461988304094,-0.17365269461077848,-0.054220504769955324,-25,29
0.495,0.6890243902439024,0.6766467065868264,0.6827794561933535,454,51,54,113,0.04902439024390237,-0.18562874251497008,-0.051914421357666996,-30,31
0.5,0.6871165644171779,0.6706586826347305,0.6787878787878788,454,51,55,112,0.04711656441717793,-0.19161676646706594,-0.05590599876314162,-30,32
0.505,0.7058823529411765,0.6467065868263473,0.675,460,45,59,108,0.0658823529411765,-0.21556886227544914,-0.0596938775510204,-36,36
